"","model","representation","ref_total","cmp_total_0.5","ratio_0.5","cmp_total_0.2","ratio_0.2","cmp_total_0.1","ratio_0.1"
"1","A","IntArray",1075.504,335.40645,0.311859788527053,148.85115,0.138401298368021,63.35715,0.0589092648655886
"2","A","Model",54470.8977025,33331.024397,0.61190517878082,11612.93605,0.213195238922362,4441.4436,0.0815379181789427
"3","B","IntArray",3220.4632,1093.21815,0.339459910611616,304.99065,0.0947039699133963,140.7826,0.0437150159020603
"4","B","Model",218768.0482,103778.0106965,0.474374624404132,41755.3549,0.190865874809226,16881.80795,0.0771676124045614
"5","C","IntArray",6535.07545,2258.9602,0.345667041992606,451.06285,0.0690218274373558,287.31415,0.0439649323406052
"6","C","Model",440797.5371555,233299.669695,0.529267180575691,86434.79755,0.196087296920419,39293.71755,0.089142325530141
"7","D","IntArray",4205.1377405,1174.16835,0.279222328127684,187.30415,0.0445417395478059,68.44985,0.0162776713211447
"8","D","Model",69867.7063975,34493.88835,0.493702886906765,12751.9385,0.182515487590935,6217.58755,0.0889908638853282
"9","E","IntArray",9378.7016,2508.88525,0.267508804203772,539.13665,0.0574852120255111,293.44985,0.0312889632825081
"10","E","Model",236576.4196,135069.747992,0.570934957171023,55456.57095,0.234412926883267,26513.2929,0.11207073361254
"11","F","IntArray",17856.7188045,5263.80285,0.294779959724375,1335.0947395,0.0747670809019823,633.26466,0.0354636631137639
"12","F","Model",617177.219301,350845.68215,0.568468295941576,139282.41875,0.225676538916566,70203.35305,0.113749099698642
"13","G","IntArray",6585.62825,1846.864145,0.280438566358494,395.158787,0.0600032027316452,110.670264,0.0168048149392581
"14","G","Model",78467.4828485,43503.5234015,0.554414667353276,17151.1492485,0.218576518908021,7634.320998,0.0972927985053358
"15","H","IntArray",15796.81365,4899.0688,0.310130188818173,1040.12725,0.0658441172406943,332.4214,0.0210435729233281
"16","H","Model",354599.3705,189800.5899,0.535253600795662,73550.36685,0.207418210433625,35002.2649,0.0987093261069396
"17","I","IntArray",30831.15,9441.2586,0.306224665638486,2084.31275,0.0676041195349509,794.10605,0.0257566146575785
"18","I","Model",832321.58885,472604.58915,0.567814887275707,174486.0217,0.209637745839422,80790.4996,0.0970664472510276
