"","model","representation","ref_hv","cmp_hv_0.5","ratio_0.5","cmp_hv_0.2","ratio_0.2","cmp_hv_0.1","ratio_0.1"
"1","A","IntArray",0.510684575110076,0.411979716014469,0.806720500468745,0.123507359343366,0.241846661056377,0,0
"2","A","Model",0.656016398142512,0.586703729577535,0.8943430853844,0.374172825998471,0.570371147821806,0.184586723804737,0.281375167339396
"3","B","IntArray",0.30821057566794,0.171318263382435,0.555848101614169,0,0,0,0
"4","B","Model",0.527519191117017,0.277312431978756,0.525691646196888,0.159421522641104,0.302209901223746,0.0616459645463862,0.116860136246136
"5","C","IntArray",0.359397852749175,0.114722098041028,0.319206409174329,0,0,0,0
"6","C","Model",0.537365693567104,0.359935528660988,0.669814863453021,0.169398370672457,0.315238528808879,0.026130724423978,0.0486274519136471
"7","D","IntArray",0.390002259044752,0.313431349266548,0.803665471154573,0.244459318618339,0.626815134909995,0.202108948860681,0.518225072223209
"8","D","Model",0.446670511155692,0.390727047477458,0.874754517522349,0.342505506206287,0.766796772233981,0.313325729632889,0.701469476510117
"9","E","IntArray",0.300619194293731,0.244260493695854,0.812524610312108,0.197393349841141,0.656622576295878,0.168010640936663,0.55888194807848
"10","E","Model",0.418997057763669,0.386289295459911,0.921937966633154,0.353372491752372,0.843377024264661,0.323873563730673,0.772973360384192
"11","F","IntArray",0.202616887891413,0.157446235427786,0.777063733760265,0.121624316727962,0.600267420912829,0.0965184970466399,0.476359587056566
"12","F","Model",0.374775381657598,0.343354485128809,0.91616072435223,0.307550344750088,0.820625792947819,0.282110900722201,0.752746617118897
"13","G","IntArray",0.096294434148381,0.0828140572571534,0.860008763637828,0.0646942388738322,0.671837780095829,0.0536826115788082,0.557484054541389
"14","G","Model",0.13268362559144,0.119357613188998,0.899565508983936,0.103755099504599,0.781973653810771,0.0886687142478639,0.66827171666904
"15","H","IntArray",0.0772146987073228,0.0670818712805166,0.868770744476851,0.0547193194435131,0.708664546512356,0.0447267559906246,0.579251835976961
"16","H","Model",0.128166076679714,0.117659303059793,0.91802219516965,0.103577871022555,0.808153559084088,0.0920465443744452,0.71818180566195
"17","I","IntArray",0.0663764855290064,0.0593160768745793,0.893630875480116,0.0489715288335883,0.737784298811478,0.0403791721078141,0.608335493902708
"18","I","Model",0.123760354782051,0.114668114530454,0.926533498812205,0.102191980157879,0.825724686535075,0.0915707451812655,0.739903706178982
