"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",122,92.888497,71.324199,1.566597,2.846893,1.704298,0.606812169312169
"2",69,58.3456,45.119394,0.803105,1.444695,1.885306,0.582561728395062
"3",83,65.737402,49.958806,0.872004,1.876603,2.075394,0.5869708994709
"4",109,95.0169,74.622702,1.519496,2.447008,2.118681,0.582561728395062
"5",81,61.530798,46.976298,0.807911,1.793195,1.798694,0.590094062316285
"6",64,50.593002,39.082105,0.675884,1.329014,1.739707,0.574625220458554
"7",99,81.805999,64.534999,1.023599,2.107994,1.664501,0.595054379776602
"8",116,81.728404,61.232905,1.169919,2.24868,2.245215,0.587889476778366
"9",102,89.4108,70.025399,1.289994,2.416801,2.100895,0.595054379776602
"10",92,81.837499,64.546093,1.12741,2.090702,1.812593,0.610119047619048
"11",93,76.400197,58.525413,1.125797,2.097002,2.065596,0.57962228101117
"12",96,72.521097,55.724309,1.0069,1.958487,1.827914,0.595054379776602
"13",120,102.859696,80.457298,1.504702,2.625596,2.042104,0.610119047619048
"14",131,103.313199,80.112487,1.429799,2.973098,1.848196,0.610119047619048
"15",89,67.576101,51.789207,1.091417,1.928785,2.0233,0.577601410934744
"16",75,60.9606,46.968709,0.78761,1.547612,1.799994,0.587889476778366
"17",94,69.728699,53.269801,0.941809,2.0624,1.8956,0.556657848324515
"18",77,65.343598,50.137688,0.777294,1.615413,1.770008,0.592849794238683
"19",97,82.687797,64.7279,0.995996,2.238396,1.975696,0.606812169312169
"20",141,106.856499,82.524077,1.590903,3.09211,2.453604,0.595054379776602
"21",91,62.2086,48.6347,0.9433,1.808,0.7553,0.5869708994709
"22",87,65.8977,52.0544,0.8426,1.7741,0.7584,0.5543430335097
"23",93,69.3784,54.9803,1.0644,1.9027,0.8262,0.574625220458554
"24",73,52.9509,42.2153,0.712,1.4169,0.6237,0.586236037624927
"25",82,62.1748,49.2788,0.794,1.6874,0.7249,0.582561728395062
"26",89,69.6438,55.9724,1.0018,1.8047,0.9111,0.574625220458554
"27",121,79.1096,60.6206,0.9914,2.1628,1.0733,0.595054379776602
"28",100,79.8223,64.5042,1.0125,1.8905,0.8901,0.572971781305115
"29",88,64.5693,51.3843,0.9002,1.773,0.7582,0.5869708994709
"30",80,59.1788,47.2825,0.8519,1.572,0.6763,0.5869708994709
"31",83,67.6871,54.7715,0.836,1.8748,0.7319,0.582561728395062
"32",126,82.4955,64.7883,0.9668,2.2535,1.1385,0.595054379776602
"33",65,49.8103,39.8489,0.6235,1.4655,0.5589,0.577601410934744
"34",77,63.6384,51.4856,0.8889,1.7225,0.658,0.575727513227513
"35",79,52.8831,40.6959,0.8511,1.6563,0.6917,0.577601410934744
"36",95,65.9441,51.9704,0.7466,1.568,0.833,0.581275720164609
"37",83,57.3997,44.3927,0.8618,1.4779,0.7712,0.582561728395062
"38",95,54.945,41.2222,0.7372,1.7329,0.8329,0.587889476778366
"39",84,50.4346,39.0697,0.6673,1.329,0.7456,0.592849794238683
"40",78,46.3344,35.7731,0.5706,1.208,0.6817,0.577601410934744
"41",97,43.4903,31.3946,0.518,1.1578,0.8507,0.562536743092299
"42",76,38.7445,28.7606,0.5629,1.0593,0.7406,0.5869708994709
"43",70,34.6891,25.588,0.4548,0.9596,0.6088,0.574625220458554
"44",110,43.209,30.3541,0.4592,1.117,0.9149,0.590094062316285
"45",94,38.47,27.1502,0.4288,1.0599,0.8443,0.592849794238683
"46",90,38.0431,27.3757,0.3981,0.981,0.7839,0.595054379776602
"47",72,29.9604,21.3381,0.3074,0.7547,0.624,0.587889476778366
"48",67,25.5115,18.0949,0.3081,0.6597,0.5815,0.558127572016461
"49",76,26.6535,18.1136,0.3118,0.7385,0.6703,0.540454144620811
"50",108,35.6352,23.3501,0.36,0.9548,0.9323,0.60515873015873
