"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",86,89.9383,26.6595,43.3288,5.0958,5.609,0.610119047619048
"2",82,81.1527,24.0052,39.594,4.4852,4.8728,0.610119047619048
"3",70,69.3916,22.5105,32.4046,3.6501,3.9218,0.574625220458554
"4",84,91.9835,27.7595,45.504,5.0319,4.9974,0.610119047619048
"5",62,63.8125,19.3825,31.3539,3.4267,3.532,0.610119047619048
"6",91,102.2335,31.9032,50.1171,5.4934,5.1543,0.610119047619048
"7",69,80.2775,23.5448,40.8241,4.4751,4.1718,0.610119047619048
"8",77,85.8135,25.6213,43.7148,4.5801,4.223,0.606812169312169
"9",69,76.9371,24.4283,37.6607,4.0944,3.7868,0.610119047619048
"10",102,112.2327,32.2535,58.7647,6.1695,5.3748,0.610119047619048
"11",119,135.6973,40.992,69.0934,7.3337,6.038,0.610119047619048
"12",75,81.1099,26.9958,38.9307,4.107,3.5796,0.610119047619048
"13",77,88.1261,28.6948,43.1067,4.6647,3.8788,0.606812169312169
"14",86,108.673,32.5156,55.9432,6.089,4.9229,0.606812169312169
"15",67,80.5833,24.9188,40.6978,4.3588,3.5713,0.610119047619048
"16",87,108.1186,32.9011,55.4408,5.8743,4.85,0.610119047619048
"17",69,84.3844,26.4087,42.5554,4.5231,3.7249,0.610119047619048
"18",80,96.5027,31.1846,47.7121,5.2438,4.2351,0.606812169312169
"19",77,96.0086,29.0507,49.1529,5.2388,4.2354,0.610119047619048
"20",76,88.0463,26.3669,44.9431,4.8522,3.8851,0.610119047619048
"21",71,79.8451,23.48,41.3343,4.4617,3.5887,0.610119047619048
"22",90,112.3179,34.664,57.155,6.1933,4.8508,0.610119047619048
"23",70,87.6388,26.7495,45.0342,4.8097,3.879,0.610119047619048
"24",89,106.5064,32.8289,54.1747,5.6136,4.5682,0.610119047619048
"25",74,87.0545,26.0664,45.4412,4.6809,3.8074,0.584766313932981
"26",64,74.3193,24.5123,36.3934,3.8213,3.2191,0.610119047619048
"27",73,88.8965,27.0066,45.6565,5.0139,3.8926,0.610119047619048
"28",83,105.3751,33.0178,53.7187,5.672,4.5003,0.610119047619048
"29",86,108.2569,32.9678,55.3496,5.9831,4.6686,0.610119047619048
"30",81,96.1421,29.4087,49.0225,5.2102,4.1149,0.610119047619048
"31",68,87.3616,26.7784,44.8425,4.7684,3.7697,0.610119047619048
"32",80,105.4335,31.2124,55.0979,5.9334,4.5975,0.610119047619048
"33",83,106.5216,30.3889,56.5417,5.9663,4.6237,0.610119047619048
"34",70,84.9886,25.7926,43.3246,4.7516,3.5651,0.610119047619048
"35",77,97.8743,30.2119,49.8894,5.4618,4.068,0.606812169312169
"36",91,115.4959,33.6371,60.3144,6.7212,4.9424,0.610119047619048
"37",71,81.829,25.0927,41.6244,4.4705,3.4035,0.610119047619048
"38",81,100.8246,32.7273,49.9208,5.3307,4.1397,0.610119047619048
"39",83,99.8786,30.2082,50.7848,5.5546,4.3154,0.610119047619048
"40",100,116.3453,34.7636,59.4976,6.5168,5.0019,0.610119047619048
"41",91,114.1638,37.3218,56.716,6.0921,4.4194,0.606812169312169
"42",85,100.817,31.251,50.7079,5.6744,4.4363,0.610119047619048
"43",83,87.4499,25.2546,45.5563,4.8495,3.8249,0.610119047619048
"44",86,94.0912,30.2436,46.1953,4.9865,3.8194,0.610119047619048
"45",73,85.1031,26.8114,42.5862,4.5487,3.4866,0.606812169312169
"46",94,96.273,30.5482,47.1342,5.1586,3.897,0.610119047619048
"47",64,73.7092,22.4705,36.714,3.9373,3.125,0.579805996472663
"48",99,91.7287,30.5559,42.888,4.708,3.723,0.610119047619048
"49",100,87.2205,26.3941,42.4697,4.735,3.8688,0.610119047619048
"50",71,71.8341,23.1349,34.6403,3.8051,2.9346,0.610119047619048
