"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",160,136.8271,115.092,0.5676,1.3713,2.1363,0.618082395470978
"2",177,159.8356,135.2033,0.6623,1.5775,2.432,0.6682720141873
"3",149,137.7339,117.1258,0.5153,1.3074,2.0219,0.57166632562581
"4",224,193.454,162.8887,0.7995,1.9239,3.0548,0.678068481004024
"5",194,167.6171,140.0456,0.6985,1.6357,2.5544,0.652066571175227
"6",111,102.7679,88.2926,0.3849,1.122,1.4682,0.641774503785553
"7",174,168.087,143.5358,0.5841,1.4744,2.309,0.673075233612987
"8",199,176.9946,149.0008,0.7956,1.7894,2.7507,0.662262055794284
"9",165,158.2883,134.354,0.5995,1.4049,2.3048,0.681537918871252
"10",203,183.9636,154.6559,0.7869,1.8639,2.8073,0.680029884273469
"11",252,229.5018,193.1712,0.9132,2.2113,3.4809,0.671620762567356
"12",202,175.9144,145.6727,0.7557,1.8213,2.7078,0.649431280267376
"13",181,170.9664,145.0595,0.703,1.7001,2.5003,0.587758597639997
"14",181,162.064,137.2442,0.6904,1.652,2.5032,0.652776900165973
"15",168,181.6123,155.9521,0.6639,1.787,2.4807,0.665342245867722
"16",133,128.7907,110.6441,0.4712,1.1945,1.8311,0.617219834936225
"17",135,120.4001,102.201,0.4646,1.1239,1.7958,0.675580266401629
"18",175,158.6946,134.2984,0.673,1.6174,2.5374,0.659308096309938
"19",175,166.7984,142.7536,0.6876,1.5308,2.3732,0.642967601118614
"20",138,144.8267,126.2627,0.571,1.3297,1.9621,0.661604529022577
"21",168,157.0719,133.1115,0.6277,1.4952,2.2648,0.679186321988041
"22",175,154.2267,129.8136,0.6795,1.5616,2.4098,0.668210217584066
"23",223,181.7833,150.1612,0.9012,1.938,3.1139,0.630990704200649
"24",217,209.7206,179.2616,0.8793,2.0859,3.0842,0.671816656435441
"25",147,133.7804,114.456,0.5065,1.2577,1.981,0.656048018552623
"26",146,133.4453,113.7895,0.5277,1.3158,2.0611,0.614573311116958
"27",193,176.7257,147.3751,0.738,1.854,2.7617,0.681276913204406
"28",196,186.632,157.9732,0.7146,1.7868,2.772,0.639984312120592
"29",200,164.6829,138.3818,0.7786,1.7553,2.5563,0.694269967942159
"30",130,97.8909,79.9872,0.4254,1.0742,1.7299,0.656108041743401
"31",186,164.0325,138.5518,0.6032,1.4975,2.3804,0.635484946456586
"32",151,127.4313,107.2473,0.5497,1.2658,2.0408,0.612215264988746
"33",149,122.0369,101.8255,0.5155,1.2222,2.0215,0.645593979492077
"34",194,150.6349,126.3576,0.6505,1.5843,2.5925,0.654007230066162
"35",182,168.3361,142.6094,0.6301,1.5298,2.4677,0.668140236000273
"36",192,155.9618,130.2183,0.6598,1.6536,2.5893,0.645513402905668
"37",254,196.9238,160.923,0.8203,2.0024,3.4099,0.694594893481572
"38",144,113.4312,94.3014,0.4549,1.1284,1.8497,0.615702544164791
"39",102,79.0641,65.748,0.3505,0.8562,1.3752,0.648123320373781
"40",166,138.0085,115.3426,0.5512,1.3636,2.1812,0.668566400654799
"41",183,147.6462,122.9788,0.7003,1.5544,2.4946,0.657396538087304
"42",194,165.513,138.6697,0.6763,1.6178,2.9208,0.666016597321693
"43",181,144.7192,120.5859,0.617,1.5047,2.7741,0.657043484982834
"44",166,136.9298,115.1967,0.5477,1.3301,2.4136,0.657363981538322
"45",145,116.9992,97.4524,0.5061,1.2681,2.0389,0.649763520321163
"46",149,110.074,90.5173,0.4996,1.254,2.3071,0.619872314303254
"47",265,201.268,162.0076,0.8134,2.2727,5.5429,0.684702489598254
"48",169,129.8784,105.5714,0.5577,1.4478,2.992,0.62955403678694
"49",170,132.8825,109.1635,0.5293,1.4802,3.1647,0.621418457131164
"50",189,146.5942,120.0366,0.6752,1.6393,3.7189,0.667972120953968
