"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",170,442.944,184.378,202.4061,16.8897,12.4208,0.705236497287681
"2",164,407.739,174.6456,185.7398,15.075,10.6389,0.699479961970465
"3",142,358.7276,145.6603,165.4442,13.8925,10.8729,0.706071895171001
"4",158,406.7936,167.1043,188.8789,15.7969,12.1623,0.714404714623044
"5",189,483.4729,206.0312,218.7445,18.1574,14.0504,0.711784292168542
"6",134,336.9862,143.9364,153.1473,12.5644,9.1649,0.69183822840643
"7",105,240.85,99.9879,111.3988,9.0741,6.9929,0.703838790961443
"8",126,345.1522,144.3065,158.3161,13.4402,10.3303,0.701957955362955
"9",178,524.3261,227.5916,237.1159,19.8485,14.1036,0.703111694592577
"10",144,427.5887,175.333,200.7236,16.6532,12.8026,0.707205555704699
"11",112,326.2592,135.3992,154.6198,12.4152,8.946,0.697874597003387
"12",141,418.9498,169.7048,200.8422,15.9782,11.2819,0.633055544141127
"13",181,599.8086,254.4594,278.888,22.938,16.7257,0.700344232442312
"14",125,395.0032,169.6664,180.5259,14.8069,11.3398,0.697012476527341
"15",203,663.3949,262.4103,322.1216,26.4041,19.3401,0.711673578768297
"16",163,544.9949,235.5815,251.544,20.6484,14.4043,0.707570918634148
"17",127,443.7703,194.1957,204.3934,16.4019,11.3001,0.673798376645522
"18",122,386.6637,156.9175,185.6163,14.7768,11.2532,0.70820294193443
"19",167,556.3842,231.5715,261.628,21.2324,15.367,0.696859128748989
"20",190,656.3064,263.9286,317.4971,25.5701,18.1997,0.675386279021533
"21",168,586.7916,244.6525,276.6984,22.5969,17.0937,0.70775033860485
"22",172,603.5739,242.0986,292.6479,24.0485,17.5428,0.708782842900673
"23",135,419.2485,166.2229,205.0066,16.3158,13.0225,0.685562501046709
"24",136,460.385,187.29,221.6019,17.6969,13.1213,0.711392869322888
"25",178,627.8914,261.3821,298.6885,24.0262,17.2371,0.710963338339906
"26",166,581.621,243.3585,273.2638,22.3519,16.236,0.704378964599959
"27",147,498.4806,205.0745,236.9076,19.5148,14.9789,0.701614711435355
"28",121,417.9695,173.6504,198.6918,16.1989,12.4215,0.707887740486004
"29",215,720.1408,305.2191,335.7422,27.4624,20.4829,0.700749101113742
"30",184,631.835,254.952,303.6048,24.8203,18.4314,0.676503118180633
"31",173,578.9936,244.3622,270.7192,21.899,17.1697,0.691234841253601
"32",177,601.2857,250.4973,284.9069,23.4011,17.2884,0.713929160942052
"33",138,475.8117,200.3562,224.1884,18.143,12.9779,0.69446611868129
"34",207,679.671,295.1294,312.5393,25.6041,18.0631,0.708014538084519
"35",151,509.7012,199.3783,250.5446,20.71,16.0708,0.679594184249162
"36",163,554.3885,233.1825,260.1451,21.4242,16.0859,0.69632770323599
"37",154,502.3624,205.5302,239.6381,19.1813,14.6553,0.711269577531579
"38",126,397.479,162.4578,190.5787,14.8909,11.5659,0.711463012595621
"39",108,333.1583,127.517,166.1933,12.866,10.4217,0.663130645908182
"40",241,640.5574,274.1294,286.6769,23.2645,18.2616,0.681634964900632
"41",209,561.1942,237.2423,254.2363,20.4025,15.7701,0.720261063481392
"42",153,453.6273,194.3196,205.9707,16.3216,12.7209,0.690972384859271
"43",130,362.6083,154.239,165.9555,13.5456,10.1708,0.69260735673848
"44",169,476.826,212.0538,209.104,16.8027,12.7916,0.695362043683854
"45",161,466.0312,209.2354,204.8824,15.9617,11.8344,0.698248228188349
"46",137,402.2454,176.1318,181.5137,14.4765,11.1216,0.700611337311679
"47",116,330.6132,135.5197,156.6224,12.2221,9.7363,0.696041676584692
"48",163,450.2382,200.8809,195.1079,15.8979,12.8142,0.680931001634676
"49",202,522.3111,253.4123,208.2167,16.3405,12.6062,0.687455075175149
"50",209,462.0459,214.4212,184.511,14.8306,12.8419,0.70433430727178
