"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",202,606.6461,564.6917,1.3342,2.249,7.0571,0.58604566358749
"2",283,821.8525,758.4864,2.2786,3.519,9.3209,0.567147837883144
"3",306,875.0116,807.6382,2.2224,3.4423,9.7134,0.60136498612756
"4",292,902.0627,838.7889,2.0838,3.3127,9.3303,0.585337768189599
"5",351,1059.5298,975.0193,2.5361,4.0944,12.0661,0.592422626900303
"6",255,761.1752,703.1391,1.8717,2.8534,8.4425,0.56228515638448
"7",300,935.1469,869.6034,2.4151,3.5173,10.0297,0.59834533574004
"8",319,1020.5005,944.5715,2.3474,3.7505,11.0575,0.58060035388089
"9",218,637.3255,594.2911,1.6134,2.7326,7.7119,0.572341457427058
"10",200,582.0021,540.7184,1.496,2.3933,7.0379,0.488581497966526
"11",212,716.2077,670.249,1.8363,2.9091,7.5014,0.559279391605191
"12",218,717.8446,668.941,1.8221,2.8424,8.0995,0.528971033202376
"13",286,877.824,816.5615,2.1052,3.2108,9.8919,0.59546942022975
"14",219,656.1348,609.2903,1.7496,2.6905,7.5346,0.530314505919889
"15",313,1004.7763,927.3885,2.5013,3.7314,11.7923,0.602162413650318
"16",285,948.1481,879.6672,2.5148,3.7728,10.9344,0.561415402579475
"17",296,919.147,848.2647,2.3789,3.7096,10.9131,0.595528019215865
"18",298,916.9939,847.6281,2.5482,3.566,9.9668,0.532873388543291
"19",344,1103.769,1018.3916,3.2081,4.5518,12.2545,0.584815576761676
"20",212,741.1683,693.6274,2.0035,2.6873,7.0874,0.478469300159631
"21",270,861.9799,798.0187,2.1264,3.2663,9.0421,0.572731543183332
"22",266,878.5806,816.3525,2.3465,3.3889,9.9378,0.593066221729641
"23",266,814.5102,751.9653,2.15,3.3736,10.0162,0.553174345283149
"24",372,1192.196,1101.6609,3.0892,4.5557,13.233,0.644702701540323
"25",336,1062.7794,982.58,2.9382,4.257,12.1993,0.56552089353003
"26",388,1202.2914,1106.0314,3.1214,4.732,14.3028,0.583869962084428
"27",288,895.0684,825.9748,2.2868,3.5109,10.9589,0.599911926253744
"28",297,920.6915,854.8664,2.2819,3.6037,10.9666,0.605931047921036
"29",244,765.3504,709.6937,2.1588,3.1793,9.6202,0.558065170857788
"30",285,866.1594,800.4734,2.3775,3.5746,10.848,0.565781419086863
"31",265,829.9113,767.4197,2.3791,3.1462,10.1785,0.57878370022803
"32",271,824.7216,763.419,2.0934,3.0872,9.1931,0.538956192372539
"33",187,591.5615,550.8615,1.4506,2.2759,7.1038,0.537507738767168
"34",198,619.2191,575.1617,1.6505,2.4253,7.4817,0.504166677386531
"35",342,1028.5868,950.6899,2.5771,3.891,12.9213,0.624085180284547
"36",329,988.4697,911.8782,2.6196,3.8653,12.1437,0.587573147758422
"37",317,922.4225,850.1617,2.3561,3.8159,11.9641,0.576544508897642
"38",264,833.2817,777.6307,2.1513,3.0368,9.6261,0.584740392406724
"39",210,651.7758,603.6825,1.8232,2.6333,7.5624,0.569819941771763
"40",267,832.0754,773.2952,2.1281,3.2809,10.7614,0.586426223637999
"41",269,809.5594,748.7336,2.0894,3.1863,9.7949,0.558644163502614
"42",298,898.2183,831.3253,2.3453,3.6596,10.8868,0.59894862395894
"43",344,1087.2569,1000.9688,2.7333,4.1274,13.5606,0.59668972916704
"44",360,1132.8191,1043.6415,2.5136,4.2699,14.0055,0.61960994149731
"45",287,890.9837,829.4107,1.9438,3.3148,10.26,0.643793830270068
"46",207,638.4859,593.9131,1.7124,2.576,7.6793,0.534648622349513
"47",347,1020.8475,942.3021,2.3981,4.0374,14.1704,0.601767817285049
"48",279,826.5047,761.532,1.9331,3.1748,10.4187,0.574924957677298
"49",399,1210.6409,1115.1459,2.4498,4.149,15.8214,0.61360510097613
"50",377,1070.8395,980.7625,2.2552,4.0255,15.5505,0.587243571168666
