"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",253,1874.4221,1077.4874,675.8306,42.2625,28.5713,0.649317950168995
"2",305,2589.5274,1442.8523,981.4596,62.0335,39.1073,0.605710330848864
"3",231,1635.8134,861.5605,656.6471,39.8195,28.1159,0.641655619147753
"4",257,2089.8042,1171.1224,786.8765,49.2801,32.5226,0.601103422118769
"5",276,2393.8153,1296.2713,943.4613,60.3128,38.0882,0.649922346756154
"6",260,2358.3153,1296.3783,921.6098,56.6446,35.1206,0.535930434658953
"7",381,3670.4978,1990.2058,1452.582,91.8298,56.5606,0.702096820752152
"8",236,2111.4692,1141.1389,839.2388,51.6485,32.9286,0.594614200636929
"9",477,5117.9658,2804.1479,2015.0331,126.0133,73.8991,0.662195126926798
"10",267,2569.1251,1399.2076,1017.6408,62.6642,38.7723,0.61607087050629
"11",264,2723.6316,1520.0364,1047.8006,65.2898,40.3881,0.610383044312565
"12",250,2589.5819,1407.7491,1030.8293,63.264,40.4477,0.599357078077047
"13",259,2579.6201,1390.3532,1027.7851,64.2793,42.5346,0.613579934616418
"14",299,3235.9124,1823.6436,1230.7791,76.6538,48.7906,0.645902952796597
"15",314,3348.3118,1796.773,1351.9752,85.1928,52.4026,0.616833044450816
"16",245,2639.03,1371.5339,1105.9477,68.8474,43.7317,0.613009771064687
"17",401,4330.6921,2359.6779,1709.8308,108.2034,74.7274,0.726925301968116
"18",243,2556.6269,1384.0459,1022.2087,61.1748,42.4374,0.641818386753504
"19",255,3022.0047,1633.0028,1221.844,74.5773,46.6454,0.617413100683483
"20",225,2371.3942,1238.2769,991.386,58.9853,38.7007,0.634088812811844
"21",293,3220.9351,1721.7176,1310.3772,79.8689,50.592,0.67031672235206
"22",248,2849.7218,1535.1219,1152.4734,68.9255,45.406,0.605680518254392
"23",237,2449.13,1299.4193,1001.0707,60.621,43.29,0.573957506054144
"24",246,2621.5884,1410.4038,1058.2216,63.4399,41.7233,0.601048823693759
"25",275,2968.6648,1610.9157,1191.0819,71.6249,45.3924,0.658689753538029
"26",311,3329.6929,1796.6903,1335.1367,83.13,51.6537,0.657341791065949
"27",369,3936.9855,2019.235,1670.4414,102.6685,66.6792,0.720733963562767
"28",302,3361.1332,1795.4618,1367.8585,83.1284,52.8597,0.607966137575718
"29",369,4029.5785,2153.4025,1637.5995,101.0845,62.134,0.652307228959106
"30",345,3873.445,2139.3676,1511.0066,95.515,60.4879,0.655478126809906
"31",245,2617.3572,1430.9066,1035.8698,62.1207,40.9146,0.621096059496606
"32",411,4783.8188,2672.5794,1836.9196,112.8974,71.1137,0.647885374229023
"33",192,2127.2252,1170.0331,841.7822,48.6334,31.9952,0.547954467414499
"34",318,3456.8512,1893.5622,1365.7993,82.3873,52.4131,0.645638488301361
"35",408,4226.4779,2327.0616,1639.4447,100.8301,67.189,0.661951972197968
"36",265,2799.1776,1513.6511,1119.8158,69.325,47.2541,0.66023273643318
"37",245,2665.2427,1417.234,1087.7458,67.3499,44.9012,0.591093916668591
"38",293,3023.8068,1608.6319,1229.6699,75.9404,50.7244,0.606388824539646
"39",356,3874.4908,2198.743,1446.1327,88.3967,58.7624,0.644791730608019
"40",219,2313.788,1256.3737,926.5711,55.9046,36.5499,0.591726086472542
"41",278,2880.1999,1573.6837,1132.4902,67.5794,45.4473,0.629358805238983
"42",255,2639.4938,1455.7392,1027.0114,60.964,41.3358,0.590898446005162
"43",300,2947.1749,1612.4145,1142.5232,66.9326,48.1863,0.607464179185166
"44",287,3001.7553,1698.7788,1118.579,66.2614,47.1399,0.587809672570223
"45",302,2815.7497,1533.7828,1092.1225,65.3002,47.5227,0.620185174645347
"46",197,1866.7526,1007.7407,743.6111,42.4957,32.0255,0.613406758979462
"47",262,2571.0697,1451.8376,954.6582,53.7574,40.7826,0.563846335895694
"48",192,1951.6224,1070.5541,764.1595,42.2935,31.9485,0.554978366988831
"49",230,2188.9223,1232.1088,813.258,45.8859,35.4519,0.551663047991272
"50",347,3272.0621,1911.5948,1105.865,67.7525,59.0196,0.621511033216325
