"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",521,14949.3088,14657.2764,18.9419,17.6025,50.4453,0.47831934213615
"2",359,10768.7802,10590.0411,12.1592,11.453,34.5304,0.481243611302676
"3",308,9242.8863,9085.6148,11.023,10.4705,29.8024,0.355557706403553
"4",380,11335.726,11141.4493,13.4959,12.5345,36.6862,0.444297878279595
"5",503,14872.9461,14596.7419,18.4528,17.3548,48.7588,0.525303845850438
"6",352,11838.4718,11648.563,13.9154,12.8868,35.1234,0.404563258184314
"7",416,12724.447,12495.73,16.454,15.7907,41.2677,0.448383750139878
"8",254,8390.4513,8271.7222,9.2363,8.6291,24.5812,0.323558467546094
"9",309,11027.7231,10864.3661,12.1788,11.2234,30.3619,0.409577833379543
"10",276,9194.6009,9060.7229,10.5673,10.0936,27.4233,0.341603129744846
"11",434,13916.1201,13683.4465,17.0292,16.6932,42.7765,0.431375968936715
"12",296,9832.7677,9679.0737,12.3382,12.1483,29.8795,0.357746372472956
"13",341,11431.6964,11256.5944,13.3088,12.5494,34.07,0.420936876172514
"14",532,17976.4131,17676.0599,21.2791,19.4522,51.5022,0.48271799854206
"15",313,10388.7264,10243.2237,12.2552,11.5353,30.8312,0.441291917376865
"16",397,12983.5843,12789.3099,16.0251,15.4465,39.8196,0.457491872107034
"17",398,13618.1941,13415.6271,15.528,14.7341,38.7093,0.402133902289981
"18",389,12629.26,12441.3751,15.5674,14.3464,37.9911,0.409839015250265
"19",355,11366.0448,11200.6094,12.9247,12.6295,33.8781,0.407118223127421
"20",348,11802.1906,11638.0935,13.8531,12.7562,35.7737,0.402513117867985
"21",447,14993.0373,14768.9724,18.1296,17.0664,45.5505,0.452027595255348
"22",448,14764.7114,14530.9111,17.3571,16.3069,44.3168,0.443518193211745
"23",341,11161.5843,11009.2645,12.5177,12.3285,33.0929,0.39278046830924
"24",495,16254.1349,15999.688,19.2342,18.261,49.3098,0.528041279255273
"25",370,11562.8642,11389.2971,13.9159,13.4481,37.7586,0.414232738995116
"26",350,11549.5189,11388.178,13.1202,12.5075,34.9041,0.40519836509401
"27",482,16498.5491,16244.0464,18.1822,17.5277,49.3163,0.473022877048434
"28",441,14247.3864,14025.3734,17.0739,16.8282,44.0944,0.431953258172391
"29",388,12891.896,12710.6717,15.6024,15.2678,38.447,0.421046231554599
"30",519,16489.1158,16231.8507,20.3841,19.2972,51.5064,0.479024424863178
"31",346,11535.5219,11382.5393,12.9429,12.0297,33.5246,0.39642397073423
"32",387,12660.9988,12468.1878,14.538,13.8326,37.7907,0.472028013106812
"33",354,11625.3809,11464.8476,13.2491,12.6108,35.1627,0.402683267826205
"34",522,17284.525,17011.403,20.3732,19.4311,52.1814,0.473665699040617
"35",331,11248.8055,11079.8498,13.6303,12.934,33.8842,0.356231824244486
"36",388,13557.9785,13375.1766,15.3891,14.2553,38.7911,0.424025135038184
"37",458,15807.8053,15572.1322,18.426,16.4729,46.1899,0.446992781375315
"38",582,17849.8421,17555.3875,23.0561,22.3856,58.2397,0.473889450011667
"39",291,9614.8813,9476.6598,11.0453,11.0818,29.2269,0.386957454256166
"40",568,17081.1688,16804.8721,21.0519,19.2094,58.2008,0.486742890411427
"41",396,12611.1305,12430.3576,14.9871,13.7835,39.7262,0.44150379244814
"42",450,13557.7318,13348.4345,15.9156,14.1386,44.4962,0.437381305646659
"43",400,12129.6502,11946.7026,14.9694,13.7751,40.232,0.413326234956383
"44",505,14345.1916,14111.2328,16.7109,15.3778,49.8835,0.47108486802787
"45",475,13533.573,13323.4999,16.6936,15.1594,47.7214,0.50838797559138
"46",557,14729.3681,14495.1363,15.7015,15.277,54.2285,0.462322934816378
"47",522,13266.7374,13047.3065,17.0201,14.5694,49.3743,0.484811568191651
"48",440,11696.2366,11504.4457,15.0077,13.4045,42.1357,0.46189451492065
"49",337,9966.3122,9839.6625,11.3574,10.2925,32.6393,0.38559493810987
"50",471,12259.2035,12073.9083,13.5096,12.8142,44.6711,0.428730496972003
