"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",416,18171.4115,13673.9005,3993.1675,192.0789,128.3125,0.506677865210221
"2",371,16212.2526,12213.3587,3543.2992,172.1106,115.162,0.441683006845723
"3",432,20083.8429,15097.7185,4453.4879,216.4567,139.5823,0.453625315340393
"4",509,25164.1849,18780.1588,5736.0515,280.0681,172.79,0.530103361982184
"5",430,19624.8342,14597.5138,4506.0871,216.2528,135.4252,0.461239576530657
"6",624,29837.287,21701.5587,7347.9843,355.6333,210.9703,0.565671986558165
"7",640,30516.478,22164.0483,7537.9138,372.7426,218.4899,0.532496416158507
"8",506,23891.4835,17295.9073,5965.6984,287.8502,172.4597,0.563225582555451
"9",453,22016.5587,15971.8874,5474.7771,265.7568,162.8277,0.510058612136856
"10",443,22354.2248,16512.3385,5298.6723,250.4504,154.3933,0.383698734318214
"11",563,27137.9941,19442.1054,6980.1311,345.7881,202.8724,0.569120846028364
"12",546,28867.3527,21413.6493,6775.0298,326.755,197.7302,0.413058954429611
"13",462,23121.5007,16886.2385,5672.4937,270.1571,164.5564,0.477418520494735
"14",497,24673.6047,17857.5788,6198.9871,296.6093,180.5146,0.490761113246271
"15",311,14672.5921,10464.3353,3838.54,172.586,115.8787,0.396605593603222
"16",718,37187.4514,27094.0965,9178.4136,446.2555,262.918,0.557963383745603
"17",490,23256.2598,16463.9016,6177.3635,294.1579,186.6313,0.48792610539495
"18",507,24967.1174,17904.1647,6439.0432,301.2856,185.9216,0.49869956505785
"19",438,20733.9149,14746.0142,5458.34,250.3545,161.6895,0.493467909981333
"20",590,29687.1681,21376.6045,7572.2528,359.1118,215.6628,0.547134538462833
"21",422,19564.5848,13770.9742,5284.2297,242.0818,156.6381,0.489764735230893
"22",518,24724.3762,17611.6227,6479.1876,301.5731,190.8621,0.530171108011171
"23",578,28784.3953,20731.7155,7331.7449,348.2552,214.3582,0.497266781338494
"24",506,24266.3559,17265.5156,6387.4948,293.8458,185.4126,0.523164745366585
"25",502,24315.722,17204.9723,6481.9624,302.4393,191.1187,0.461922288262363
"26",516,23930.2864,16768.1912,6540.1896,299.5714,185.8744,0.553711292441105
"27",505,24858.484795,17772.520644,6465.102451,300.918507,187.353308,0.50257660527279
"28",560,27860.442991,19963.195314,7197.195396,336.566431,207.73735,0.463497970749172
"29",486,23166.004394,16389.96858,6182.787722,282.596702,181.042702,0.541186078374639
"30",444,21271.320598,15042.557121,5690.411616,256.902481,164.80049,0.480749066605297
"31",614,29424.740107,20891.224024,7762.318837,362.280159,223.606051,0.543659899349804
"32",457,23029.189504,16649.37184,5826.488292,267.597977,169.926506,0.415100175221153
"33",484,23666.930394,16995.580108,6083.760452,281.360967,178.199993,0.493595007226831
"34",533,25443.58811,18110.10461,6666.622483,311.947522,199.480845,0.575418065499434
"35",625,32218.621392,23526.906849,7890.741889,359.178515,232.182572,0.542990202627195
"36",518,25831.932702,18462.805239,6709.827873,312.372413,195.808243,0.490835018113446
"37",514,25134.478492,18011.771907,6481.26142,299.845296,191.443504,0.456591437200945
"38",391,18121.452498,12678.747135,4976.708329,222.569559,144.389988,0.481535423048718
"39",436,21013.694302,14878.17294,5594.814056,255.430687,166.742389,0.509159352733797
"40",572,28324.941599,20624.041149,6949.856058,306.899109,213.19419,0.568965679002762
"41",463,22313.507513,15918.283176,5807.693334,252.781913,174.381742,0.53756976237314
"42",388,17623.835709,12376.504907,4776.180101,204.582458,146.577934,0.52809411603056
"43",587,32239.631986,24270.886057,7124.003417,310.975708,231.760158,0.51963925483472
"44",687,37649.469615,28654.640526,7993.826372,363.139202,261.853832,0.574359726737461
"45",498,23922.326402,17287.856158,5949.882978,261.382956,186.664537,0.535247795179727
"46",643,36582.402304,28063.264257,7568.278055,329.036576,259.790597,0.5173343539547
"47",635,34142.054099,25977.265476,7232.79808,318.078258,244.645805,0.584344168331641
"48",627,30114.461101,22165.60051,7037.359049,317.015846,238.788238,0.557098735283555
"49",415,23685.665991,18052.985259,5048.92897,203.895128,163.68619,0.478547416046469
"50",547,29357.193712,22171.196329,6365.661022,274.418632,217.994076,0.516232579481045
