"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",472,66878.198004,66527.177147,32.767109,22.273132,95.474869,0.362844497627489
"2",552,81137.774798,80697.529027,39.461427,28.37367,114.301713,0.377188000299871
"3",585,84382.725801,83924.71329,41.545973,28.995037,118.21618,0.382842377006186
"4",476,69507.622906,69163.527666,34.701846,23.42811,96.961845,0.389390583716426
"5",596,91697.798292,91215.110013,47.032929,31.887032,123.740513,0.424360958457782
"6",399,60443.890593,60199.949675,28.98801,20.274962,81.697007,0.332020962229252
"7",494,75295.396507,74933.704305,37.005311,26.00933,101.047075,0.343877469576935
"8",498,79587.058801,79228.796665,37.751488,26.471511,101.815499,0.375812804042238
"9",433,67649.237399,67406.2751,32.095936,22.699508,89.371955,0.288617063537988
"10",410,65787.4204,65561.04981,30.956413,21.446007,85.620306,0.300650875304609
"11",465,74072.539099,73777.794797,35.273811,24.582615,97.457699,0.331682314839345
"12",718,113194.7648,112641.2815,56.1307,42.4984,153.5153,0.441055401218845
"13",681,109168.6931,108646.589,53.5846,37.3667,141.6363,0.445971446046065
"14",653,102214.1423,101758.3082,48.8733,35.4599,137.5354,0.461519554803977
"15",631,105594.4724,105128.6031,51.1686,37.3412,135.7179,0.431249114715358
"16",493,83377.2686,83100.8021,38.8162,27.2806,100.7863,0.423823169251921
"17",467,77247.3475,76991.326,36.8598,26.8193,95.1179,0.356903922582708
"18",593,95546.9662,95150.5305,47.4414,35.2037,124.541,0.368619937881407
"19",521,84662.9953,84376.8824,39.5552,27.9222,109.4924,0.382875749234345
"20",617,99293.9038,98910.3708,46.9307,33.8906,126.9289,0.404907453633288
"21",675,105772.549,105277.6801,58.6299,39.7275,141.4253,0.433324550128653
"22",577,97129.9769,96739.6612,46.6875,33.8448,122.4115,0.406108373477956
"23",602,98239.3204,97829.3104,47.5544,33.5974,124.6782,0.443589729050121
"24",634,104860.6356,104439.4687,50.5269,36.4791,131.486,0.435521024901829
"25",575,93257.1787,92894.3211,47.5752,32.2245,124.4634,0.388427196523849
"26",571,92641.9642,92282.8821,45.8852,33.111,117.4602,0.391950020752046
"27",420,73293.3402,73064.1529,32.876,23.8406,90.7527,0.33953498295028
"28",440,73823.7439,73619.697,35.0562,24.4224,92.2977,0.40405706330384
"29",702,115195.1704,114657.672,55.4171,39.8689,167.8575,0.433397315482224
"30",609,94599.3726,94185.6884,50.2432,36.6944,133.8512,0.389831765853297
"31",561,90500.6513,90169.6318,43.7522,30.9281,116.0222,0.403336548651149
"32",598,100001.1799,99604.7698,47.9016,34.1227,122.9773,0.416454441506861
"33",555,91955.8885,91594.3008,44.1624,30.7293,116.9926,0.385985228201538
"34",761,116694.292594,116132.084184,58.327475,41.68142,155.901109,0.483476678974976
"35",554,89247.5119,88914.1931,42.8232,30.3814,114.3088,0.396145266423489
"36",715,109915.484802,109439.621112,55.057789,37.990399,151.181143,0.483075643899174
"37",815,121553.844486,120984.831102,61.029431,41.635908,167.734431,0.472798229983941
"38",691,107613.6537,107171.277683,54.159396,37.63293,145.32301,0.426455602469251
"39",659,104140.426608,103725.395301,52.772888,36.403527,138.938805,0.413693992187782
"40",608,96121.8445,95746.0072,46.3638,32.5509,123.133,0.396421114921663
"41",620,95238.245611,94839.009545,46.155524,30.923859,125.553743,0.412609572337251
"42",457,70454.7379,70256.1063,35.7052,24.0693,95.8109,0.359172198273959
"43",659,93052.003696,92662.581579,45.659351,31.365313,136.156092,0.458755462689714
"44",767,102965.422409,102546.345318,48.272644,33.505105,162.586428,0.51862851367087
"45",458,70166.314807,69983.902037,34.745364,23.528354,95.881301,0.354704100037782
"46",618,86018.933825,85645.85064,43.439097,29.458375,126.701374,0.434983035007491
"47",670,91535.541592,91162.391586,44.061279,29.885455,137.546723,0.510192620912174
"48",573,81744.915392,81486.626854,38.467491,25.575073,117.35949,0.433118708452395
"49",492,70538.875201,70346.411461,35.868381,23.825988,107.697914,0.391338668583598
"50",703,84860.786889,84498.771123,41.966132,29.248242,139.888341,0.418040584722717
