"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",662,112943.587695,94869.036618,16502.194867,704.442237,447.904628,0.416276289247671
"2",617,94334.437195,77826.214255,15067.598402,635.883919,410.081348,0.408026033397435
"3",558,87566.773095,72325.066131,13935.308192,564.307119,373.894401,0.367408212650146
"4",859,132080.278401,108016.987786,22031.589896,959.007006,589.769769,0.531758602627091
"5",826,133925.26899,110440.129825,21555.665665,934.864103,575.642609,0.476636756056133
"6",713,116879.783184,96790.591997,18454.907461,799.504451,485.853892,0.400863063256597
"7",674,101293.963701,82403.877503,17361.435843,734.422325,456.903256,0.4738308594683
"8",801,128716.630102,106065.386886,20790.291813,925.260353,554.476774,0.505081044534505
"9",679,105768.847594,86693.668464,17531.977107,745.433284,472.684049,0.401196101664021
"10",728,117536.421479,96950.073276,18920.078198,812.735365,505.98907,0.444149081737852
"11",961,153238.605497,125646.095694,25315.658086,1147.526095,673.299576,0.571613700240842
"12",781,125792.532005,103671.456907,20359.803181,873.133388,550.887197,0.493062033938225
"13",689,109762.4616,90073.542363,18105.38857,792.17365,498.11606,0.445558710656513
"14",794,128344.306581,106053.905007,20518.328449,884.907835,550.304376,0.492943338099309
"15",693,113838.680088,94322.118671,17987.93774,755.753026,490.438018,0.459252219542884
"16",756,123131.562114,101837.56913,19607.628814,831.025626,538.132605,0.452691666531622
"17",532,77752.587892,63283.519193,13350.343949,533.783028,377.930596,0.338878459807376
"18",496,68894.103306,55076.512092,12755.301253,503.168284,365.036985,0.35179486171884
"19",740,117505.0526,96600.1758,19270.2708,808.6003,538.6321,0.435896251705079
"20",784,124480.6071,102451.3072,20306.3952,858.127,566.6077,0.427085376160986
"21",718,108156.6518,88076.4632,18521.7226,768.3227,515.3198,0.47941026062503
"22",955,147553.7205,120420.9694,24976.4186,1092.9816,686.8837,0.516926835986881
"23",723,111174.3924,91034.6128,18553.5752,777.9144,524.8486,0.456617551236797
"24",854,140372.8965,115716.9608,22725.6898,963.0706,632.2519,0.448771277299597
"25",521,79905.0948,65476.5881,13353.5745,507.7286,384.8553,0.375692981593933
"26",499,71547.5771,57993.0907,12541.9054,469.1674,362.7339,0.389152515767922
"27",1102,160803.4819,130975.6535,27470.065,1188.0862,738.8407,0.581831661504489
"28",716,110690.9283,90562.6714,18577.105,758.7505,518.1088,0.465826054023349
"29",736,112802.2189,91889.6371,19315.8639,791.6387,524.0878,0.460956585119226
"30",941,144468.8641,118622.3131,23814.7219,1017.1341,658.2028,0.526115397055638
"31",640,97835.5651,79721.119,16717.4228,680.4021,473.5662,0.478862297708541
"32",837,129766.9845,106513.6347,21457.5915,886.9889,595.392,0.496148056101477
"33",865,124512.9148,100858.8588,21771.9801,938.3759,605.6754,0.535255611218231
"34",641,93364.5389,75576.082,16410.9012,660.8695,466.1649,0.420898262906872
"35",666,101927.2688,83400.6928,17100.4132,695.9079,480.4255,0.502090405817949
"36",573,88703.3735,72793.1272,14717.8791,573.5462,416.778,0.317851080325766
"37",500,73446.8133,59722.6987,12698.8137,478.8861,367.1211,0.359935365285203
"38",812,109179.9391,87456.4488,20010.6831,841.1356,554.9828,0.544928313582691
"39",793,111106.0139,90470.7763,19059.5364,775.839,526.5462,0.472175483448397
"40",979,125654.8107,102737.166,21166.1788,861.7768,573.9224,0.534573031016268
"41",585,83613.5367,67765.5762,14642.39,580.5901,425.2726,0.347101167698193
"42",696,93553.6053,75668.3552,16540.957,644.95,462.356,0.379793850018546
"43",782,98899.4879,80257.0363,17235.0533,672.8497,474.9509,0.475207421382431
"44",827,97180.32,78844.5629,16964.9106,656.1293,460.1888,0.450622853217442
"45",705,73997.2231,59314.9451,13605.4864,489.9251,380.9682,0.461602193620181
"46",661,68762.6829,55638.3834,12198.8927,415.0674,335.5233,0.409025891870707
"47",682,67559.3287,54443.699,12198.9079,403.199,334.3203,0.429318582221056
"48",688,66451.7591,52840.7664,12647.0226,435.2024,349.2914,0.476508679125839
"49",939,77169.1945,63259.9809,12949.1264,399.4265,347.706,0.500505364679915
"50",773,65414.2184,52823.0728,11721.6445,365.9708,315.8328,0.43745733529485
