"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",403,24984.5732,1061.2458,22714.7301,193.0561,331.3053,NA
"2",403,24490.3857,994.4407,22360.6095,192.024,296.4273,NA
"3",353,13671.7069,668.5374,12324.8812,91.2875,187.0871,NA
"4",487,29037.6931,1218.1719,26413.2136,241.2328,349.9997,NA
"5",371,22496.0853,909.7355,20584.4875,173.109,277.3098,NA
"6",373,14845.9923,721.619,13383.6275,95.6032,203.4744,NA
"7",419,25958.0863,1101.8261,23597.7704,217.4762,335.5448,NA
"8",376,22824.3555,932.1748,20853.4751,171.8896,283.8124,NA
"9",432,15498.3921,845.4472,13832.2013,118.2552,221.6564,NA
"10",422,26308.8636,1119.8567,23932.4281,219.4862,340.3791,NA
"11",369,22583.9502,925.4651,20614.8878,174.4588,276.5908,NA
"12",378,14546.218,737.2731,13100.6204,94.19,201.4875,NA
"13",441,26472.8545,1073.6342,24150.5589,211.3932,323.7123,NA
"14",375,22704.1307,905.3758,20751.733,179.2374,279.1606,NA
"15",445,27777.2946,1197.428,25216.5824,249.8913,350.7983,NA
"16",394,23715.081,953.7877,21694.8936,182.1685,296.0497,NA
"17",363,22013.0366,890.8431,20095.0047,168.832,272.556,NA
"18",470,29069.4148,1231.1729,26361.1252,250.3454,388.0883,NA
"19",347,21086.2858,852.2567,19282.0217,153.7712,265.7619,NA
"20",486,14770.1346,874.5521,12999.1143,134.3788,228.8032,NA
"21",431,25298.0006,1041.7541,23081.9314,197.4964,306.9487,NA
"22",378,22509.3648,927.9025,20536.8991,155.239,287.5987,NA
"23",335,15661.6991,710.363,14223.1202,90.8681,216.5435,NA
"24",464,18591.2953,930.4738,16720.8939,146.5648,248.5594,NA
"25",436,16856.9743,853.6596,15148.1738,132.8442,228.3703,NA
"26",385,14768.8127,729.4552,13305.2991,99.7379,201.7228,NA
"27",344,21577.1304,895.7237,19678.0858,168.9811,293.9938,NA
"28",366,22576.258,971.5829,20546.6407,179.5055,299.6391,NA
"29",409,25355.4798,1095.5546,23006.1901,218.0642,322.529,NA
"30",419,25965.8621,1131.168,23589.3507,225.0035,328.9043,NA
"31",464,28512.8078,1200.6654,25882.2856,244.694,377.9496,NA
"32",334,20217.2911,842.0032,18446.0839,144.4695,257.7566,NA
"33",497,30595.2747,1237.4981,27913.5682,275.5375,357.7872,NA
"34",527,31465.4698,1278.2523,28613.5708,282.9287,367.6554,NA
"35",344,21409.3672,908.5376,19526.1421,168.9168,282.7627,NA
"36",360,22034.7787,952.1464,20076.2984,171.9906,295.7862,NA
"37",389,23892.8103,1039.902,21721.7829,192.6292,312.2797,NA
"38",430,26583.6994,1156.4214,24130.2649,226.0102,340.8117,NA
"39",474,29278.0877,1226.2175,26620.9707,252.285,368.7358,NA
"40",416,25141.5021,1035.3371,22922.2475,182.3656,317.8104,NA
"41",409,24853.3277,1006.7081,22668.8323,202.3185,300.2067,NA
"42",464,28274.3646,1160.6972,25762.0889,241.8765,334.3645,NA
"43",424,14635.5671,795.2598,13056.6318,109.7251,212.6753,NA
"44",373,23032.6393,972.19,20958.5415,200.0733,295.6931,NA
"45",381,23591.1029,1002.686,21461.5707,192.8606,310.7922,NA
"46",431,26663.9284,1116.5768,24243.4175,211.2777,351.0982,NA
"47",444,27328.2494,1158.2077,24783.0328,234.1848,349.1648,NA
"48",508,31405.7749,1311.8565,28538.0408,284.0229,386.3635,NA
"49",367,22394.1266,913.4991,20462.945,172.3193,275.0256,NA
"50",477,28041.3082,1173.5301,25513.1943,240.4688,332.1604,NA
