"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",429,1268.5454,49.018,14.991,16.3852,576.6347,0.49973144634944
"2",418,1131.5762,47.2275,14.644,14.9728,453.7575,0.538783770510951
"3",459,1128.8877,52.1314,16.3141,16.3205,404.5647,0.533861761676554
"4",411,978.9025,46.9976,14.291,14.4084,354.065,0.509431232568346
"5",328,769.8579,37.5613,11.1842,11.3825,243.4762,0.363196027352654
"6",478,1367.7548,54.5659,16.6564,17.7926,566.4985,0.579113826044483
"7",413,1118.8942,47.0358,14.6589,15.7111,483.3087,0.526102353007801
"8",417,1109.4567,47.13,14.691,15.1493,429.1683,0.516164430046862
"9",391,1002.1455,44.0168,15.4675,14.0328,379.686,0.493543430478671
"10",398,886.5041,44.3111,13.6829,13.3279,266.5,0.483349673665284
"11",487,1116.9451,55.0136,17.2145,16.961,344.7876,0.600350690364277
"12",464,1032.7674,52.8437,16.484,16.2053,328.6648,0.546789279621423
"13",461,1036.9597,51.4178,16.0626,15.647,322.1029,0.500364560474566
"14",417,904.0698,47.1322,14.5297,14.463,295.8845,0.542147216952416
"15",535,1227.6096,60.4382,18.5912,17.9652,367.0994,0.584602253019127
"16",373,872.2754,41.9818,13.002,13.0276,276.1408,0.439655729262526
"17",422,956.9548,47.1902,14.75,14.4552,302.5429,0.49956321319355
"18",430,984.2707,48.7025,14.8943,14.6261,314.6158,0.518511509315759
"19",407,928.8678,45.0719,14.0247,13.7723,295.1062,0.503623483357637
"20",394,961.1556,43.9971,13.8565,14.0768,349.1412,0.516344498145343
"21",514,1291.7459,57.2497,17.77,18.0578,488.8364,0.569121042041256
"22",382,881.5898,42.8333,12.6128,12.9128,323.4131,0.472258452139935
"23",522,1343.5562,57.9183,17.7988,18.2956,524.5941,0.580039716740051
"24",494,1290.2902,55.428,17.048,18.5149,507.6253,0.575993161836535
"25",384,1007.2702,44.3386,13.5466,14.0152,385.662,0.432095523692891
"26",490,1338.4912,56.6473,16.9814,18.5892,570.919,0.553748778899381
"27",451,1278.1998,51.1059,15.803,16.9561,553.9067,0.525672202617757
"28",371,1070.7461,42.1837,12.8403,14.048,479.0592,0.451317018957145
"29",389,1094.8825,43.9874,13.5637,14.5374,514.438,0.474377128077528
"30",366,1021.2517,41.0224,12.5326,13.6047,455.9759,0.467805527338496
"31",408,1008.0041,44.9673,14.0134,14.3533,406.6354,0.511937917651806
"32",351,847.4074,39.1653,12.1202,12.1366,314.0494,0.42148345143205
"33",372,840.5097,40.8412,12.6883,12.8234,290.2319,0.439721540391885
"34",433,1006.08,48.0746,14.9196,14.803,334.7638,0.508620704911302
"35",404,922.9445,45.2333,13.8706,13.3248,294.9519,0.522964434117197
"36",486,1162.8337,54.3995,16.6147,16.3112,409.276,0.586264564721872
"37",390,921.9632,44.6307,13.8099,13.3247,291.6948,0.414652919846247
"38",490,1247.3432,54.6102,16.7372,16.7458,435.7231,0.494509582100435
"39",446,1078.628,50.2711,15.2577,15.4489,395.5075,0.554649561819546
"40",446,1124.9312,49.2895,15.0475,15.1946,404.4971,0.496381272740787
"41",417,1091.2027,45.8172,14.1365,14.8545,455.7272,0.483230328776917
"42",321,823.8682,35.839,10.7557,11.5575,349.675,0.430199167704897
"43",483,1301.0175,54.1553,16.8798,17.8389,559.9739,0.58570257085923
"44",415,1155.5259,46.7942,14.2656,15.0165,500.5767,0.469908497090595
"45",534,1382.4373,60.1661,18.4398,18.9375,539.3085,0.586014371823369
"46",337,933.6792,38.2521,11.6095,14.2006,441.8744,0.433687931809494
"47",519,1360.5206,58.3651,18.2025,18.2903,525.3289,0.578154863873827
"48",467,1189.7658,52.5943,16.1539,16.1848,429.7215,0.524303331127093
"49",429,1074.8689,48.8693,14.9756,15.3043,392.0079,0.501368650276783
"50",439,1076.1391,49.534,15.2025,15.16,388.3827,0.527192273795535
