"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",422,56857.551502,1273.321511,54463.593091,191.142318,289.394922,0.663905106324239
"2",431,57622.772804,1293.344088,55170.707595,197.187617,289.9185,0.68040367993714
"3",421,58388.645694,1277.853409,55976.041427,188.380405,289.583495,0.669238462368864
"4",412,55540.001799,1234.023902,53185.435358,173.846893,284.295233,0.635452798267099
"5",419,56279.728704,1245.713887,53899.993404,183.463551,287.224785,0.645281662785101
"6",407,54877.616602,1217.529994,52565.409145,178.02021,279.657906,0.656211287570966
"7",335,44591.5939,927.958684,42793.387135,123.880717,235.675779,0.553864805579545
"8",372,50050.562605,1093.607317,47996.404797,155.346038,260.651555,0.631372618853793
"9",364,49023.595409,1070.653343,46989.276273,139.911392,256.112813,0.56215302602891
"10",420,56510.6071,1266.871391,54081.447263,184.520816,290.387715,0.691388940013874
"11",443,59763.5658,1349.254871,57203.155492,187.678128,309.946787,0.658295011715487
"12",420,56375.1593,1230.330595,53992.239879,189.181196,286.518614,0.670469517612164
"13",419,56570.546298,1232.741715,54171.96402,188.233514,288.204772,0.657946931674996
"14",381,54151.6887,1103.39821,52032.991721,172.977686,261.332984,0.62479814233432
"15",429,57364.616202,1252.873688,54957.634305,191.066682,291.154981,0.683822208634774
"16",413,55426.280597,1221.111547,53097.824325,185.636464,281.816814,0.683314965207481
"17",484,65199.157899,1440.674235,62391.543816,221.205555,346.082381,0.690045729333314
"18",377,50467.285802,1116.05391,48380.472596,159.830303,258.797311,0.604566031458384
"19",371,49494.516906,1078.535473,47451.281582,159.740204,253.035375,0.647689686477992
"20",417,55952.302003,1241.238906,53600.270606,182.420988,286.377584,0.682882049643934
"21",419,56046.388292,1233.830008,53696.039831,177.986643,284.739642,0.651935665694506
"22",417,56037.7011,1198.768283,53739.034584,182.741292,283.730582,0.653734355754393
"23",392,52390.171908,1110.074029,50257.995714,161.125333,267.182299,0.620352185770108
"24",433,58138.520894,1269.537812,55719.535201,186.819425,293.114437,0.671028193266603
"25",389,52030.522905,1118.930781,49890.724633,161.373746,263.57486,0.625730890660173
"26",378,51528.326492,1086.412714,49465.219156,143.235317,258.637059,0.594431006930188
"27",476,63248.935699,1453.183426,60500.598213,228.103565,318.943535,0.70005875440658
"28",479,63521.14281,1423.917035,60794.792598,227.635956,324.712193,0.722259890030155
"29",385,51403.928698,1118.231437,49253.66231,153.3559,263.022738,0.622907759121091
"30",401,53767.3493,1150.887241,51552.513885,169.357589,273.257154,0.609444903586142
"31",468,61839.901908,1368.985227,59229.936068,216.214414,315.028286,0.698262165878555
"32",409,54790.106705,1213.780021,52498.775795,174.54863,278.895769,0.670701017937791
"33",423,56893.684911,1264.271031,54466.777917,189.183509,287.200002,0.65146016645902
"34",423,56714.863693,1230.939203,54358.368754,195.415069,284.217204,0.658160624283267
"35",398,53464.148898,1157.701707,51262.41947,172.308013,270.306304,0.657983210751348
"36",369,49524.368307,1075.612806,47480.999801,154.209213,251.721364,0.573282738769414
"37",452,59975.665194,1320.302994,57418.702327,199.947382,308.033915,0.678169309140204
"38",368,50911.975205,1054.967333,48866.568092,156.713487,253.089297,0.619647730168618
"39",448,58840.817599,1311.826778,56338.555435,204.954806,299.796866,0.694095491838092
"40",399,52429.8946,1154.133653,50214.044287,164.64239,285.796593,0.612640338085597
"41",334,35705.5359,937.2754,33897.8036,139.029,230.2032,0.535982207325188
"42",445,51054.5895,1341.9011,48495.9303,207.7703,303.8218,0.645991980554415
"43",300,31559.307,870.7244,29908.3499,133.8634,206.9836,0.514978391828182
"44",395,44089.0375,1179.0983,41850.7836,181.7056,269.4827,0.66761021760367
"45",415,48945.779,1263.723,46535.0382,199.0669,286.6761,0.655821508714057
"46",395,44153.0047,1179.2944,41925.1473,184.4198,271.4796,0.644032357396684
"47",436,50314.4542,1344.0772,47726.5703,211.0304,297.0847,0.673526029794855
"48",462,54065.6004,1457.5103,51317.3018,227.0156,314.7861,0.685431539613212
"49",436,52170.4665,1337.0371,49638.9798,208.3819,305.0372,0.65110146815228
"50",462,53951.0555,1416.2404,51266.8008,229.9221,315.9264,0.670456244779353
