"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",471,90920.624797,2339.415496,85759.116154,213.018411,1027.943285,NA
"2",680,132268.903402,3910.893851,124202.323224,630.37798,1596.903452,NA
"3",494,96458.348603,2629.010218,91028.887138,256.894403,1095.903366,NA
"4",526,103071.485498,2569.400543,96953.640846,241.478645,1458.391978,NA
"5",718,140160.971996,3467.809298,131671.865258,812.613479,1454.182888,NA
"6",607,116358.628208,2907.479225,109719.471922,332.324508,1458.746074,NA
"7",711,138583.567097,3695.868273,130321.712312,643.196285,1681.842217,NA
"8",460,90084.518201,2502.54397,84830.038,186.034801,1169.282325,NA
"9",661,128082.500009,3452.837206,120326.403535,774.13786,1561.448539,NA
"10",660,127472.199209,3243.051312,120021.979412,512.562497,1674.026914,NA
"11",577,112544.656295,2775.231499,105703.089291,320.707706,1772.554971,NA
"12",430,83340.848401,2717.342449,77949.442051,259.749633,989.052841,NA
"13",496,96280.566699,2494.514489,90727.196222,311.211836,1327.224351,NA
"14",520,102224.1422,2792.064571,96126.959491,309.976068,1330.610658,NA
"15",668,128664.508791,3810.079309,120683.335177,634.846604,1712.161816,NA
"16",694,135283.708091,3979.107661,126432.675164,912.431125,1690.148942,NA
"17",506,98381.769495,2319.70718,92838.352994,284.002253,1207.121509,NA
"18",407,79763.319088,2196.043242,74745.733669,122.632036,1282.193122,NA
"19",472,100196.4429,2265.8719,94573.3256,427.7041,1313.1479,NA
"20",474,89900.427515,2196.781928,84912.687872,487.437637,1106.681989,NA
"21",645,124615.357708,3399.978204,116941.426787,473.120006,1507.490913,NA
"22",403,77370.289321,1850.206985,72862.559239,239.898024,1061.214887,NA
"23",707,158507.0563,3833.2171,148628.016,945.8165,2199.7397,NA
"24",514,98046.659903,2346.189632,92323.57843,419.911899,1274.396506,NA
"25",644,139120.6622,3113.1226,130464.2106,650.251,2128.8516,NA
"26",436,85839.876705,2354.496492,80958.790225,154.954258,1032.930627,NA
"27",718,137947.927511,3518.311763,129513.282241,724.658156,1886.64092,NA
"28",515,98966.342098,2384.404774,93763.008271,368.156978,1099.572593,NA
"29",670,149012.2856,4332.2004,140047.7988,604.8783,1869.9814,NA
"30",619,120177.4588,2932.805701,113280.800616,634.910151,1272.073514,NA
"31",660,127451.245591,3008.558361,120495.551344,468.617876,1501.445597,NA
"32",631,123132.853507,3023.412096,115804.454486,561.036226,1601.43172,NA
"33",416,79353.290297,2185.500766,74581.293627,152.980032,1084.197067,NA
"34",468,89162.958202,2431.162132,83681.100597,377.704902,1234.471603,NA
"35",592,114270.764389,3153.159426,107280.735234,705.263928,1215.205868,NA
"36",711,139334.559594,3267.005999,130641.37541,829.0193,2071.349334,NA
"37",541,103885.090893,2739.985719,98084.071721,319.73813,1141.358228,NA
"38",648,148103.4272,3448.1828,139239.0192,603.8205,1916.3788,NA
"39",700,133765.451605,3133.095032,125963.774347,607.081072,1729.699433,NA
"40",425,80916.0523,1874.322156,76293.274819,143.912169,1148.123794,NA
"41",367,70399.6049,1811.3029,66442.6544,126.5577,996.21,NA
"42",578,109857.354001,3021.345614,103573.460739,452.612744,1202.669521,NA
"43",663,149511.4875,3473.6573,141363.7493,659.2003,1655.171,NA
"44",544,104454.398,2540.270154,98279.050884,457.181248,1544.417128,NA
"45",614,118959.013799,3175.274587,112043.230093,425.747977,1570.370158,NA
"46",498,94466.858409,2447.09843,89208.577236,219.918677,1168.755188,NA
"47",587,125294.0742,2863.8446,117860.0037,330.0445,1690.2958,NA
"48",512,99620.037202,2368.540574,94050.849102,403.999504,1328.801449,NA
"49",443,89941.276,2377.4501,84810.0618,273.6972,1081.638,NA
"50",599,116005.36079,3501.678062,109146.783157,375.92044,1292.728384,NA
