"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",477,2936.6478,140.8119,33.5658,25.0556,1447.5622,0.238170444560855
"2",654,4052.2708,196.6301,47.4004,34.1343,1909.116,0.388184149122859
"3",544,3235.9734,162.4858,39.0214,28.7438,1442.4633,0.28138476818673
"4",501,3236.4347,147.6265,35.7436,27.0933,1606.9464,0.20497199943655
"5",472,3014.9187,141.6083,34.3309,25.1995,1493.3542,0.213506310720817
"6",606,3441.0188,182.3365,43.3184,31.2252,1481.906,0.352745313127874
"7",514,2861.3078,154.7283,36.5557,26.088,1213.8549,0.233407252933106
"8",585,3515.5996,174.0355,41.32,30.9083,1651.3056,0.354060018087021
"9",529,2982.0603,157.7344,40.3861,28.8017,1311.2489,0.290920057287092
"10",537,3204.953,159.458,40.0981,29.0157,1523.4299,0.348317966455695
"11",605,3613.8911,178.4602,45.8954,33.4683,1720.9922,0.377432543444701
"12",506,2922.1569,148.4781,38.2881,27.2594,1365.625,0.283557794333443
"13",480,2760.9442,144.0705,34.7972,24.8346,1210.4591,0.229201051763967
"14",574,3323.6417,170.3395,40.0635,29.7655,1543.0363,0.351968057964067
"15",548,2912.6055,161.388,38.6382,28.1734,1273.9957,0.329244484884302
"16",453,2484.4576,133.0566,31.4832,23.6932,1134.1657,0.24906441326826
"17",457,2568.3487,135.7062,31.8017,23.6452,1143.3048,0.221466113456027
"18",536,3260.9962,158.7236,38.095,29.3116,1592.0849,0.315349442190726
"19",551,3196.8724,165.5377,38.6828,28.7721,1476.8632,0.326689518694869
"20",605,3457.7842,184.4861,43.3973,32.2067,1450.5595,0.29318491476454
"21",532,3103.3953,160.4692,37.3149,28.3651,1372.1257,0.24589507427181
"22",646,3768.2803,191.8112,45.4181,34.1908,1752.1665,0.399636086953146
"23",547,3286.7716,164.5421,38.5286,29.2922,1558.1423,0.286038251549731
"24",602,3654.635,180.3735,43.3718,33.1245,1687.0791,0.329312469428975
"25",514,3096.3247,152.6865,37.0031,27.9632,1515.7236,0.319243155858222
"26",626,3472.7391,184.4798,43.9913,33.2366,1549.2603,0.38624032614835
"27",502,2817.1777,149.7374,34.6725,26.3692,1260.6315,0.259592035316992
"28",459,2744.3822,139.4731,32.083,25.1361,1313.7129,0.23906791231925
"29",573,3270.2768,173.4876,39.7785,30.1678,1502.5691,0.377199034149707
"30",604,3457.0692,182.8474,42.0743,31.3606,1503.2232,0.320527456980691
"31",431,2391.9192,127.7941,30.0014,22.229,1088.5934,0.208463906176631
"32",597,3170.0149,174.5651,41.0916,30.8863,1365.754,0.392314405944589
"33",504,2676.7526,149.2816,34.5092,25.7962,1122.021,0.245276852051995
"34",615,3476.982,181.749,42.3432,32.0829,1613.3721,0.385306223724088
"35",551,3264.8466,162.2399,37.6028,28.9232,1560.3077,0.314389535651859
"36",596,3403.1404,178.4935,40.8323,30.9266,1534.6884,0.380382074445947
"37",515,2902.7493,149.5454,34.7396,26.6109,1336.6421,0.252691408299843
"38",518,2779.3403,150.3763,34.6092,26.2663,1217.3084,0.296542646633105
"39",701,4149.1512,208.5636,47.8725,37.4367,1918.9713,0.424623962933939
"40",650,3892.5287,194.6253,45.141,35.2039,1921.1511,0.440394909301636
"41",656,3895.7917,195.5083,44.8624,34.8113,1899.3319,0.436250135626557
"42",484,2841.2934,144.0133,33.4758,25.8214,1360.6956,0.26832618984534
"43",616,3412.6542,180.7948,42.3392,32.0772,1529.4329,0.379849583216247
"44",546,2974.2446,159.2043,37.2971,27.8238,1263.5063,0.286461001892541
"45",596,3170.1563,173.1602,40.1224,29.83,1317.5196,0.339378096697641
"46",568,3107.6719,166.9545,38.3599,28.9156,1365.2008,0.312037511810031
"47",505,2724.2376,147.2517,34.205,25.528,1247.9945,0.290558571327629
"48",581,3609.3089,174.7317,51.7337,33.9714,1686.0717,0.289531528419791
"49",567,3480.3291,171.3455,51.1985,32.9259,1619.0608,0.304383639525849
"50",552,3535.3021,167.4623,50.5871,32.4979,1633.8749,0.295352134169913
