"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",622,232125.878605,5387.946734,223370.834478,502.362384,1062.931366,0.586420393849734
"2",647,241190.296097,5621.649065,231948.346185,519.475235,1073.459959,0.587491998604033
"3",497,183484.903001,4175.439527,176777.522756,272.938947,848.434447,0.384530436556686
"4",439,160939.861599,3562.85384,155165.5224,222.0561,748.774018,0.356678075499773
"5",537,198870.959401,4545.074781,191578.699809,330.474867,928.934293,0.487089199963489
"6",509,188256.349701,4295.2612,181338.772326,310.270812,855.959709,0.443418884031742
"7",626,233485.9254,5467.726061,224604.87011,512.630971,1037.969844,0.60627644799414
"8",682,254475.8253,5877.248532,244891.640684,549.155469,1140.668626,0.604674602937964
"9",615,229991.045204,5402.04308,221304.412114,473.786469,1020.458073,0.518490752242462
"10",471,174496.602097,3939.667699,168186.838037,236.48102,803.048364,0.368791622999211
"11",669,250534.549009,5991.17645,240904.939569,536.859092,1115.304783,0.592985697865592
"12",640,239402.472299,5624.443894,230298.56011,504.682878,1070.969092,0.576704802168564
"13",653,243851.846302,5689.906947,234505.221445,494.229067,1090.971752,0.569005748217217
"14",502,186587.850702,4349.417799,179683.831191,312.199572,852.089449,0.468754577294349
"15",507,188504.887502,4299.077671,181574.231296,306.275956,860.080113,0.370642864333709
"16",536,201445.142503,4572.231501,194013.039994,351.80781,908.328044,0.436157912830112
"17",612,228616.037495,5319.352593,219974.942965,464.273577,1031.846345,0.500182618752917
"18",576,220015.103298,5039.910007,211938.31022,385.826451,975.457564,0.530769008938663
"19",443,162953.721003,3650.426943,157047.104923,232.267292,759.299383,0.389092153833236
"20",630,235635.301803,5493.963228,226761.724912,473.577171,1055.392613,0.567084173543794
"21",486,178335.627598,4070.685168,171743.702206,222.162096,834.848294,0.373694730995531
"22",529,197293.685485,4581.7828,190018.251917,366.029192,885.387218,0.487731497324365
"23",532,197263.733297,4545.713777,189974.230292,354.290563,890.600006,0.502470996795005
"24",573,212675.920398,4984.782045,204695.221287,382.485389,960.834054,0.510951024834389
"25",495,182307.295397,4133.765496,175672.459012,250.183867,841.502578,0.390494612355323
"26",686,258410.660994,6229.326552,248475.582,599.437739,1155.796086,0.609642726864002
"27",718,268876.281284,6323.996556,258569.025157,616.507723,1190.259611,0.613241340631733
"28",489,180402.9906,4187.273401,173667.799652,266.607073,830.246082,0.402385644221741
"29",700,263441.222789,6278.782014,253323.661479,598.072755,1156.7612,0.641239914130692
"30",579,215147.48289,5058.337569,207013.003538,376.755016,1003.157381,0.534179295078565
"31",501,184326.335005,4329.571222,177423.8517,258.414484,845.840286,0.396660947570149
"32",771,276872.087401,6816.870674,265687.544037,702.026831,1265.323978,0.667845620017416
"33",686,253009.566196,6070.581651,243100.646619,547.963326,1141.394374,0.61523370535407
"34",542,200486.883296,4532.929242,193131.009524,343.724844,911.231423,0.445237894689591
"35",638,241406.830793,5667.738429,232383.232782,502.34503,1069.110044,0.566933296135392
"36",451,165430.447301,3744.633781,159441.974581,211.629253,773.263693,0.34829963281169
"37",639,234869.740896,5658.321287,225749.283592,497.781475,1061.948717,0.572123446362315
"38",659,241185.342892,5775.47554,231749.956648,553.380745,1102.705556,0.592834918323617
"39",538,199644.501399,4508.923265,192341.570047,372.046635,898.435135,0.493378357544291
"40",566,209542.613395,4859.327576,201662.61585,409.197967,949.064502,0.531061433822755
"41",641,225170.4899,5656.3579,216012.541,480.2248,1093.8486,0.524269373295371
"42",620,218461.5751,5612.5064,209442.4515,491.9606,1045.9046,0.568916755012865
"43",674,237403.5318,6143.4561,227479.0922,570.9526,1141.0959,0.605179593701657
"44",592,207099.9136,5329.0856,198454.8448,468.4309,1016.9531,0.520172227948133
"45",697,248369.434,6517.4536,237924.1277,628.9776,1186.6594,0.613196485185991
"46",622,219074.5213,5778.4206,209793.6431,534.0608,1050.0776,0.574807759346195
"47",673,237522.8177,6187.0729,227539.2588,586.746,1144.5151,0.602292012148747
"48",457,153300.9995,3881.2498,147041.5361,239.3265,794.6425,0.346708487818207
"49",573,198885.1003,5169.6414,190548.5345,429.8458,982.5314,0.493353271116818
"50",645,228517.9614,6002.0347,218737.0948,565.4817,1129.8242,0.576211327021123
