"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",611,268860.170894,5471.962871,256001.04169,429.336794,3238.281449,NA
"2",627,292941.605618,6101.706522,276284.810751,470.657136,4812.675162,NA
"3",589,268871.3749,5727.6089,255382.1852,515.8136,3306.5206,NA
"4",621,275492.797694,5785.702824,261826.407908,394.377866,3529.203463,NA
"5",570,261065.796,4633.1309,247992.5341,611.027,4043.4176,NA
"6",522,215622.974807,4228.812932,205089.252734,233.395375,2738.021562,NA
"7",648,297772.166,5885.297,283187.5206,516.2642,4121.5318,NA
"8",656,249210.079706,5707.982983,235604.646979,383.614941,3402.850485,NA
"9",649,297063.109803,5752.605297,281803.881373,533.257735,4416.055654,NA
"10",638,300290.282802,5503.800175,283953.911339,391.528911,4149.246877,NA
"11",625,275014.053104,5248.796389,262138.038226,361.02013,3764.630979,NA
"12",579,268500.16449,5538.934268,255055.612265,501.897352,4014.276723,NA
"13",534,243827.7145,5046.8454,232006.8902,512.7122,2770.3475,NA
"14",537,237400.909493,5034.407758,225881.443478,467.281368,3050.122794,NA
"15",609,279780.8044,4875.5042,266986.1204,413.2773,3362.4621,NA
"16",559,234387.208001,5520.153484,221928.475611,506.445626,2956.297033,NA
"17",576,268549.772204,6582.826069,253792.084249,388.431585,3392.193812,NA
"18",643,289836.236709,5590.561441,275518.038568,502.678683,4098.413161,NA
"19",583,269456.143506,5581.174019,255886.192121,763.310753,3255.742671,NA
"20",536,245111.4288,5219.6828,232579.5003,286.3194,3155.9034,NA
"21",581,229993.156882,5110.460239,218321.482823,310.352737,3409.579747,NA
"22",507,228388.148308,4814.58538,216428.400522,365.686518,2927.70063,NA
"23",566,256603.9694,5469.2111,243909.3049,337.1042,3198.3793,NA
"24",644,264878.904422,5746.265838,251584.776777,505.770027,3287.818117,NA
"25",641,296500.0152,6003.451748,280808.156936,402.98663,5062.661286,NA
"26",478,220038.4661,4059.3141,209476.4511,431.1374,2544.6058,NA
"27",592,230965.499798,5139.221331,218565.010359,382.346474,3589.938777,NA
"28",730,336241.615209,7375.407963,318977.932847,773.945195,4912.793378,NA
"29",640,291309.968607,5913.226125,276488.599079,570.520157,3802.71658,NA
"30",742,337812.814204,6972.632175,320767.750533,874.629642,4755.731166,NA
"31",621,285370.183506,4914.944942,272213.395016,573.237226,4039.435365,NA
"32",515,235104.5474,4876.5298,223026.2263,278.8439,3027.2887,NA
"33",579,224781.925603,5501.196195,212255.576444,355.017916,3273.038804,NA
"34",534,250835.312904,4874.559547,237401.852315,511.749515,4339.233532,NA
"35",636,287724.436497,5563.015582,273302.681686,792.99219,3755.268224,NA
"36",665,303792.154892,5381.279735,290386.607721,629.826295,3477.528167,NA
"37",681,313328.2064,6366.2975,296470.0528,985.6001,4388.1621,NA
"38",575,268722.680908,4927.649822,256750.722727,320.590113,3476.555282,NA
"39",629,281644.988208,5394.503883,267624.953657,744.071732,3699.630737,NA
"40",623,279896.998086,5212.994629,266285.99541,372.083836,3763.476932,NA
"41",618,284897.6509,5201.6363,272170.6558,426.9498,3706.0107,NA
"42",687,254650.205922,5521.452275,241589.482032,601.297114,3682.259514,NA
"43",631,288795.384097,5472.926192,275136.198309,627.515474,3662.098302,NA
"44",609,278991.8849,5222.925,265344.7488,459.7926,3242.212,NA
"45",590,217037.137811,4968.096317,205956.371979,434.615344,2885.536391,NA
"46",461,214380.361404,4155.679136,203239.696673,514.61333,3227.638798,NA
"47",563,256808.8859,6013.6449,243441.1875,719.5411,3060.8616,NA
"48",655,247334.733296,5564.717647,234210.284451,566.778171,3496.682687,NA
"49",672,319717.299993,6128.938095,304060.375885,559.944403,3899.520966,NA
"50",578,272186.3294,4821.9188,259230.0315,484.2991,3638.3686,NA
