"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",652,466293.795398,12296.265171,448318.057645,469.742636,2118.552207,0.629196913204889
"2",743,536845.779598,14554.70261,515476.57315,588.51503,2515.525333,0.656898671584674
"3",658,476685.661318,12867.570711,458310.363898,409.730447,2120.325777,0.610242303590038
"4",635,452999.774501,12232.61179,435061.810274,374.489325,2116.208734,0.477027233726473
"5",568,405215.517701,10779.805287,389438.019972,338.675189,1891.314576,0.463963884796512
"6",614,439770.301411,11696.735021,422679.904253,372.369786,2016.469583,0.534011790367121
"7",642,461126.730296,12233.099793,443143.489635,441.102429,2071.739462,0.561272527653811
"8",640,459281.792094,12226.866146,441374.911738,423.463568,2042.498525,0.529520892622545
"9",612,437189.922307,11641.731737,420296.032949,439.542237,1954.453791,0.520845185127158
"10",598,434480.706894,11267.803446,417935.444867,334.44551,1936.802726,0.492506832154648
"11",515,364416.427501,9812.410482,350129.140763,286.223699,1674.385478,0.419979582728031
"12",658,476237.501493,12692.966794,457626.248118,523.222,2187.175156,0.617235857786804
"13",545,387519.170312,10421.182253,372297.023071,327.027399,1827.953174,0.476543302940033
"14",646,464429.965202,12290.388323,446474.092417,424.165417,2097.404303,0.57164822284312
"15",608,436131.464502,11523.065896,419321.33492,358.239226,2022.576878,0.508842205055004
"16",598,425413.915314,11382.705565,408680.259405,355.343593,1975.593548,0.481332304675828
"17",655,470481.431899,12592.355891,452126.778155,358.799556,2142.437234,0.575591335062268
"18",617,443195.0046,11696.591839,426040.340386,399.616186,2049.37321,0.498663604127715
"19",619,447409.839904,12042.710679,429882.86706,433.029048,2046.743922,0.540719596767087
"20",544,389481.487803,10057.984471,374481.924418,464.896326,1768.254234,0.433660499439452
"21",581,414950.1059,11119.746,398714.3568,331.4029,1944.1886,0.495537538783977
"22",639,453436.7367,12210.1834,435484.317,386.3596,2122.9989,0.543449140599028
"23",662,474558.1619,12951.6258,455802.7208,461.4547,2160.3191,0.630051754481967
"24",678,483895.0805,13282.6114,464635.2813,420.9002,2199.5022,0.624125447136545
"25",589,429786.7453,11445.247,413159.5025,395.5905,1904.3187,0.481939849250626
"26",631,447662.6172,12147.1597,430022.645,358.0266,2085.7732,0.549673396403152
"27",587,418588.1706,11470.3848,402064.1289,376.5774,1928.6472,0.508773960842753
"28",618,444364.5469,11858.9076,427152.9235,417.7602,2029.6339,0.530441593279945
"29",545,383508.3036,10395.6447,368478.9976,292.2916,1778.3682,0.400823679473197
"30",516,367374.586,9877.4629,353047.0222,294.9566,1668.7546,0.344313894481867
"31",639,462841.3384,12614.4209,444660.9154,469.5665,2131.9083,0.548638102843388
"32",603,428801.4246,11677.2104,411852.4092,371.7397,1949.4744,0.487322172976595
"33",676,477116.7959,13341.3406,457793.4868,411.4093,2212.3776,0.554998795227841
"34",635,453049.2261,12366.6624,435173.422,418.1303,2130.1917,0.598789925910011
"35",656,464078.8453,12694.0526,445577.0036,448.6316,2131.5383,0.560176870196
"36",626,441824.7729,11916.2627,424408.2716,364.37,2024.5599,0.560129882094427
"37",653,460007.7421,12592.4884,441642.0424,431.6526,2105.5212,0.56496706434776
"38",571,406240.5033,10892.8035,390412.3892,366.2651,1867.8716,0.54337965212664
"39",796,553692.9714,15736.3697,530820.2106,844.9615,2490.0929,0.758037631023401
"40",651,447674.4281,12530.4759,429467.326,428.2232,2128.6511,0.608917909643661
"41",612,413567.9049,10856.6341,397409.9334,372.9233,1954.8995,0.526614352786079
"42",598,404225.6732,10990.5444,388105.8066,394.797,1908.4129,0.548693783484531
"43",566,377644.6022,9946.8255,362871.7174,333.3902,1834.7635,0.473181173798031
"44",543,361566.5555,9650.9523,347233.7939,329.1824,1745.1911,0.436972668080665
"45",499,339216.6865,8725.4598,326276.2467,295.775,1604.6542,0.404218487725192
"46",613,413573.280402,10495.420801,397768.239232,393.233693,1991.024466,0.497587025325342
"47",690,454280.310505,12224.055199,436376.060294,457.475,2165.506498,0.640701653499025
"48",649,437758.952986,11477.60572,420743.514256,457.492101,2074.678729,0.610049339580418
"49",570,382007.334509,10258.749049,366927.929678,344.978075,1812.771655,0.475213448074164
"50",587,391798.66059,10164.123661,376568.560646,386.015595,1863.335803,0.544544953589356
