"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",442,52138.296407,1545.182949,45751.329599,334.73377,585.798617,NA
"2",387,38989.005001,1148.676467,34596.846027,210.096148,385.18965,NA
"3",453,45524.311317,1405.163642,39924.634756,345.14879,443.963377,NA
"4",288,28046.217,812.245,24378.4096,183.9213,297.001,NA
"5",414,38413.658,1163.5125,33456.4565,279.6683,510.6868,NA
"6",447,43301.5483,1520.5053,37768.2597,340.5468,482.6499,NA
"7",340,32969.8854,1001.6808,29046.6177,160.979,340.0947,NA
"8",370,34359.6178,1110.2383,29979.2387,182.021,418.9897,NA
"9",396,38981.0733,1185.1273,34307.0838,208.4711,390.2226,NA
"10",388,45703.27559,1435.502285,39880.08276,190.86342,542.180715,NA
"11",456,45706.785002,1376.906402,40017.576953,246.294718,452.266604,NA
"12",415,40536.8484,1406.7031,35331.4017,294.2587,404.2872,NA
"13",344,33436.6748,1017.8286,29328.0262,171.0887,412.1661,NA
"14",341,31627.9787,981.7712,27852.6937,223.8734,399.3786,NA
"15",421,39359.1708,1153.2953,34363.6325,240.3198,506.83,NA
"16",482,46363.9812,1522.2158,40828.7699,382.9846,466.4646,NA
"17",332,33197.906797,1345.577494,28727.903003,338.957575,415.133895,NA
"18",329,31616.3925,988.0678,27626.8263,212.4288,459.4372,NA
"19",312,28890.2384,1009.893,25411.4567,138.4375,318.8879,NA
"20",400,51553.062515,1806.885347,43765.00136,275.52518,723.784256,NA
"21",393,41303.203579,1180.198973,36286.509022,314.393255,389.941756,NA
"22",462,45656.0986,1418.4314,39654.8939,256.0585,528.6462,NA
"23",384,35950.5247,1270.6993,31393.3428,202.4816,480.6283,NA
"24",309,31117.5838,852.9138,27644.6908,141.3295,437.9971,NA
"25",470,45268.4545,1415.1246,39945.0056,265.6754,547.1642,NA
"26",394,40436.436111,1176.401096,35370.304359,202.30042,493.473571,NA
"27",305,29775.549,1008.7887,25991.6068,146.0675,465.2569,NA
"28",398,38240.9224,1092.4598,33380.161,254.3409,446.2845,NA
"29",374,35972.7243,1134.1337,31514.0865,184.7471,490.232,NA
"30",463,43681.1036,1261.5698,38346.2271,303.4535,443.1864,NA
"31",332,31417.2165,969.7553,27601.7967,206.1315,387.9819,NA
"32",443,42733.7152,1288.3717,37232.2421,302.3096,440.7207,NA
"33",350,32364.2138,1108.5295,28437.6221,178.0058,341.5872,NA
"34",401,45216.812813,1249.57985,39056.799287,486.235636,572.198808,NA
"35",414,41604.371598,1498.184562,36123.121827,305.814184,415.87308,NA
"36",524,50401.8787,1572.6098,43747.1351,347.3306,623.9309,NA
"37",262,25142.3499,797.0851,21889.6256,162.0323,446.2938,NA
"38",356,33180.5773,1085.8564,29149.8185,183.1611,349.2874,NA
"39",385,40112.07849,1288.58486,35151.740629,297.181719,384.826555,NA
"40",430,42491.7844,1180.7726,37349.749,229.0698,428.5302,NA
"41",419,39343.2535,1402.5555,34569.3169,217.0333,408.7777,NA
"42",390,39594.5283,1295.6764,34372.8464,268.895,457.7457,NA
"43",382,47480.399395,1801.488034,41152.113819,212.407676,642.759948,NA
"44",391,39499.470507,1082.902089,34641.16223,226.398723,497.008635,NA
"45",530,51753.8653,1679.2812,45323.1666,394.6478,564.5704,NA
"46",393,37057.1978,1098.428,32321.4997,247.2276,390.223,NA
"47",464,46975.5506,1424.5752,41017.9745,344.7462,452.3932,NA
"48",340,43426.140268,1221.302634,37686.259614,161.871163,523.886276,NA
"49",276,28909.083075,997.093906,25235.156463,223.457427,386.979303,NA
"50",292,28881.497405,980.138496,25188.113231,131.847359,303.383674,NA
