"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",415,76013.1882,2019.1882,70435.127,283.8697,399.0127,0.434535994561874
"2",448,83118.3524,2167.5373,77107.1937,321.4033,426.2467,0.460281390971443
"3",342,62527.2879,1679.0252,57956.2383,206.2318,335.9858,0.440112028210231
"4",468,88090.9557,2358.7767,81760.8047,330.8133,446.6078,0.469236756427611
"5",333,62286.5402,1606.9881,57841.0017,212.9114,316.6486,0.434553199621222
"6",414,78541.8038,2115.9592,72891.7281,289.2827,391.813,0.448027907812633
"7",416,77759.5291,2049.8481,72203.8441,275.7543,397.5121,0.462315397136749
"8",350,65831.4077,1714.9087,61144.7615,234.0368,336.3032,0.446915171626098
"9",315,59042.0132,1554.6719,54810.7663,184.4747,305.1216,0.43331886278258
"10",476,89285.9761,2384.3553,82858.6967,340.1119,441.579,0.446394600587844
"11",403,75917.8761,1991.776,70451.4551,256.7689,383.3922,0.457904386222057
"12",314,58603.0807,1562.2435,54387.1974,182.4481,301.7475,0.412706134647582
"13",296,55296.3809,1407.4549,51382.8787,168.0129,289.234,0.435304051620741
"14",489,92003.9858,2437.889,85331.6968,356.2094,496.4769,0.467197969880541
"15",450,85120.2958,2252.9688,78998.1077,311.8952,429.377,0.445066857194949
"16",406,76855.2904,2058.905,71305.9892,281.58,388.5018,0.458000638013855
"17",315,59174.3,1489.8007,55006.4954,187.6714,306.6047,0.447315093288197
"18",398,74605.1257,1972.9882,69276.7067,263.6123,375.5365,0.463750400787797
"19",412,78055.9006,2046.7809,72518.7429,273.1795,391.3702,0.464295829176231
"20",420,78918.645495,2022.287023,73327.184472,273.730198,402.495392,0.455762291705885
"21",373,70276.414595,1805.281037,65285.205782,239.633992,355.278639,0.429419410153776
"22",477,89758.288199,2327.12784,83368.469138,335.486281,445.188284,0.474738975226423
"23",336,63158.100199,1607.433055,58726.965259,206.400466,322.672625,0.426323745746988
"24",316,58976.066894,1465.073326,54887.910353,188.815685,302.319274,0.43892275657842
"25",343,65824.753396,1633.547039,61297.638888,218.691265,327.729836,0.412915044660977
"26",372,69458.9982,1773.345261,64558.642684,237.016057,352.356566,0.456404826967511
"27",462,86822.667712,2210.882595,80686.031961,320.847047,431.361968,0.461885450932649
"28",391,72972.534985,1838.685333,67872.656859,263.650128,363.542374,0.426445021858214
"29",327,60737.008293,1526.804887,56494.853769,191.990989,312.804222,0.435345865304634
"30",394,73711.642795,1855.106863,68557.231126,258.177288,370.879012,0.467755927687335
"31",459,86233.486012,2115.189173,80295.631174,297.975863,427.471299,0.467254476203668
"32",493,92057.025107,2338.715962,85607.425181,334.311238,461.514278,0.462337487612045
"33",468,87749.389172,2215.137733,81575.119813,312.915871,437.468439,0.473216140881239
"34",419,77849.182909,1989.800747,72391.158276,266.569488,390.992768,0.453730179712475
"35",465,84223.033617,2146.244096,78215.997999,314.45905,430.306197,0.466991637733072
"36",330,61073.149198,1508.881466,56845.860812,204.814479,308.465763,0.438694990435432
"37",431,76996.792311,1986.459061,71459.194696,294.117459,392.002476,0.436319141637045
"38",373,67671.157387,1740.094344,62832.984301,237.012669,348.391808,0.443065461071331
"39",369,66382.896484,1635.387761,61737.339151,234.142493,339.019688,0.430953669537039
"40",435,69012.376212,1985.742618,63466.313762,292.620812,386.038982,0.460749963591709
"41",334,57176.310557,1497.057272,53011.396185,201.508156,301.072853,0.40681305001272
"42",534,74501.831513,2538.686139,67615.644816,385.785479,464.934392,0.481347345708009
"43",442,67725.087208,2070.936244,62040.22259,303.914756,389.567452,0.432367788872606
"44",302,50729.961909,1309.645932,47014.226199,152.650451,278.038529,0.424985058032706
"45",384,57541.801419,1755.705952,52711.005655,235.564332,340.289274,0.430762501819371
"46",421,60058.008793,1925.03707,54765.020059,273.888512,370.554396,0.45318361643924
"47",313,47061.241607,1382.196296,43191.180498,167.596936,281.454236,0.43316598765282
"48",538,66186.620413,2630.955368,59150.087567,387.456477,473.047304,0.446425850685285
"49",452,52864.394199,2120.309614,47096.538538,304.315648,395.198854,0.44790610939165
"50",322,43218.265915,1500.352086,39131.107093,194.450216,286.152236,0.401524183274496
