"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",617,9155.409,258.3048,64.375,44.1434,2190.6843,0.310013735411824
"2",547,7990.6075,226.6343,56.2105,37.6496,1896.8916,0.292628311965775
"3",658,9722.7669,271.5162,66.6275,45.3622,2372.21,0.302287439790511
"4",598,8935.6683,259.0814,64.3015,43.4767,2112.2451,0.288276525934979
"5",611,9132.3921,263.1889,66.7243,43.9719,2193.2616,0.304727190855929
"6",581,8622.2261,240.1677,63.1544,41.8866,2061.8616,0.288308918523125
"7",650,9556.8643,269.9842,69.6528,46.6311,2283.0124,0.310046660851317
"8",575,8549.2817,242.6342,63.4782,42.0497,2053.5708,0.29431067600168
"9",658,9629.5275,274.4911,72.7128,46.3257,2208.567,0.301351689013271
"10",662,9836.9476,278.295,73.8139,49.5221,2286.8925,0.301183028286583
"11",457,6856.5359,195.6843,51.2629,33.8791,1638.9412,0.272257458711883
"12",491,7300.289,207.1667,55.5657,35.7654,1729.3831,0.281147157880524
"13",620,9275.2449,264.509,71.0414,45.8564,2185.9527,0.299405606035196
"14",700,10436.0418,299.5392,77.4219,51.342,2469.4502,0.313784952312512
"15",607,9146.9691,258.4348,68.2448,45.2967,2215.0385,0.302765011545634
"16",540,8122.0306,229.0898,62.2496,40.5806,1932.1972,0.27659652443735
"17",711,10602.4236,300.0376,81.7283,52.627,2490.8939,0.323382156486066
"18",587,8826.2193,248.7461,67.0465,43.1928,2119.1722,0.294211024315115
"19",646,10298.8981,288.0194,82.3385,52.2703,2464.1318,0.315530821214681
"20",714,11342.9904,322.3697,86.7406,58.8025,2676.4603,0.319764805251892
"21",512,7885.3053,220.4941,60.913,39.7949,1863.4843,0.275236341285821
"22",678,10824.551,307.5052,82.3354,55.2225,2558.6729,0.301049464312822
"23",517,8363.3692,236.8298,65.0122,42.7736,1992.8366,0.272188405261119
"24",761,12102.6889,344.1715,93.3882,60.6483,2910.9964,0.311966099333914
"25",697,11033.2187,318.3639,83.9973,55.994,2596.0359,0.310327322332568
"26",595,9512.7399,268.9453,74.285,50.1797,2239.4715,0.30500728255732
"27",634,10073.9887,287.87,78.0702,50.7603,2408.1064,0.304124274614449
"28",574,9173.2137,264.3161,70.7287,46.0613,2185.8626,0.284713197898886
"29",524,8181.8207,230.6079,63.764,42.1534,1970.2124,0.291536273100829
"30",728,10981.4125,315.8572,82.5774,53.9844,2658.3723,0.303119188074629
"31",759,11416.0983,328.696,87.1158,57.0544,2758.3862,0.330156258392032
"32",614,9267.4992,268.2108,69.4612,45.0912,2277.5277,0.298998616291101
"33",877,13247.4511,371.7744,100.4957,65.2157,3215.9126,0.329339361588202
"34",572,8540.4719,245.0477,66.009,41.7769,2060.2809,0.280068283560136
"35",577,8631.4288,241.5089,66.8374,42.6547,2073.096,0.290488413831345
"36",633,9482.1583,267.9908,72.7321,49.2022,2251.5386,0.308382947212151
"37",757,11366.9002,319.9586,86.4554,55.1737,2714.6741,0.322046662308126
"38",609,9169.8585,262.7494,71.2373,45.9436,2194.9734,0.29231223812862
"39",570,8607.7526,241.4841,66.1853,43.1171,2065.4703,0.296212868478584
"40",709,10551.5591,301.8068,81.2297,52.5792,2490.4582,0.303421929574521
"41",648,9652.8488,271.4986,73.6253,47.516,2262.909,0.306925609141024
"42",636,9619.5619,273.225,73.3892,48.4159,2369.7932,0.30018892427464
"43",523,7807.4354,222.0988,59.0089,39.002,1880.6829,0.284643739363255
"44",779,11667.8111,333.5448,87.2184,56.8757,2717.1511,0.326039750873958
"45",569,8509.324,248.7031,67.4023,42.4491,2018.5629,0.285888592043176
"46",681,10265.4004,287.1053,76.8653,50.6036,2489.1498,0.307371953525809
"47",497,7415.5889,211.4639,55.7103,36.5194,1775.358,0.277602909933425
"48",605,9172.3506,262.3904,70.1457,45.6851,2197.4372,0.28658645432854
"49",765,11555.0888,325.5634,88.9558,56.7442,2726.1619,0.294093197948055
"50",754,11459.8843,308.9552,86.5465,54.8126,2787.2657,0.299200890183047
