"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",508,233693.314397,6456.302844,220198.142585,452.284771,1089.19715,0.424230601542845
"2",516,239139.284201,6641.161563,225490.621305,432.93232,1103.067921,0.421802459899003
"3",561,261333.679701,7111.966638,246460.602179,543.040087,1191.249095,0.439112244769368
"4",468,216633.651405,5834.266124,204360.127615,383.657094,1014.359625,0.408289072788545
"5",501,232673.449298,6401.224886,219375.212499,458.967204,1066.0347,0.413801756574646
"6",612,288099.389108,7839.90222,271690.862609,631.622946,1296.401639,0.421127143191893
"7",515,243961.996505,6577.708651,230328.957633,451.459572,1111.548996,0.421115354836517
"8",559,263381.836002,7146.764671,248516.735266,527.188343,1195.784484,0.422817857663757
"9",535,251405.047999,6776.201812,237183.50552,502.245674,1171.931454,0.407068827751076
"10",499,239672.497789,6344.51698,226484.727569,382.051224,1083.159714,0.422285464795013
"11",537,252049.366497,6673.444598,237910.536508,469.847983,1152.630383,0.427453922998145
"12",526,246944.891098,6682.675675,233005.650283,463.432463,1123.381754,0.415025341318111
"13",483,225750.625296,6035.457526,213059.245336,379.327215,1035.026229,0.421152274471691
"14",534,251136.248405,6805.261847,237038.040224,465.485283,1133.776357,0.420353241015802
"15",511,237937.3901,6526.142323,224472.22273,443.213359,1080.647561,0.403072499836594
"16",539,253434.390396,6729.032086,239224.625432,466.765614,1162.228398,0.421125165363414
"17",497,235035.715007,6246.827937,221945.107998,421.883947,1071.147441,0.415279705027951
"18",546,258242.524904,6988.203077,243687.997265,545.815118,1162.059169,0.422882905904986
"19",506,237528.376398,6401.075544,224236.285898,422.542989,1083.775314,0.432115509865415
"20",577,272530.038007,7467.555571,257012.673165,529.85891,1247.769278,0.424744496808789
"21",542,257271.1042,6828.3927,242863.5415,499.2856,1191.149,0.429034241228902
"22",453,214077.6021,5691.1865,202182.194,313.0231,1021.721,0.3950279428845
"23",571,269699.5376,7332.7434,254448.1127,522.0755,1233.034,0.430332636362021
"24",493,233191.2797,6212.0526,220218.8958,402.8251,1073.1456,0.421191340589455
"25",586,275917.4649,7633.8779,260085.5749,604.6567,1252.2443,0.44239294230256
"26",493,233859.4774,6140.0119,220905.702,354.8442,1073.097,0.421731777366088
"27",486,236175.9085,6243.6569,223272.507,401.5269,1042.7961,0.41363921779982
"28",486,229623.7724,6078.5033,216936.8503,358.6683,1052.9274,0.4197913955043
"29",458,217700.4626,5931.3131,205497.1714,400.5937,991.675,0.402736108212602
"30",481,231070.9833,6033.4234,218352.2974,434.3869,1040.5889,0.401180729574447
"31",501,236976.9307,6502.0361,223579.2271,402.3008,1073.6208,0.419001139677121
"32",462,219584.7764,5882.28,207352.5861,368.0462,999.8249,0.39859729392522
"33",488,232010.0431,6169.665,219053.3586,428.4629,1054.2128,0.39718044285405
"34",546,257205.0015,7037.3881,242418.1618,507.6537,1187.3815,0.407760266565974
"35",454,214635.2666,5702.0893,202711.9746,326.6298,987.8692,0.412388184670234
"36",466,221450.0863,5910.5196,209070.8589,370.3702,1040.6088,0.410431036179707
"37",502,237581.4771,6480.3569,224201.7927,455.38,1071.6608,0.398593833690846
"38",502,237546.5501,6462.382,224104.7423,454.5303,1099.0783,0.404489543191424
"39",527,241643.1349,6754.5444,227465.1771,496.2901,1152.9343,0.441867264878756
"40",471,220641.6419,6002.2884,208131.9946,369.9801,1040.4239,0.417048910222762
"41",530,224132.5978,7580.7619,208722.8578,528.8253,1261.8192,0.413666238908828
"42",481,200898.7424,6867.8737,186922.1314,441.6138,1134.9346,0.422498869440994
"43",464,191899.7451,6644.2017,178504.2007,399.2145,1099.1855,0.401848503691525
"44",552,241785.459,7989.9623,225410.1695,593.4091,1341.1157,0.437518955847835
"45",518,223585.5658,7443.8907,208264.9112,594.4721,1322.7939,0.407756000814361
"46",499,208939.3383,7048.4239,194506.6629,470.3935,1198.2076,0.413089098925819
"47",451,186020.5676,6538.9327,172831.1087,400.9824,1060.8518,0.414244351503177
"48",514,223335.7858,7511.6395,208029.6565,552.3427,1216.3476,0.426099402604757
"49",534,235275.3293,7883.6099,219181.6,585.7971,1312.3066,0.418992975850217
"50",556,251313.02,8315.9337,233792.3196,641.7652,2061.2995,0.415000685990214
