"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",749,422640.7523,9760.6049,386497.5464,1422.5831,6589.2271,NA
"2",647,371827.5805,7850.9784,341047.7729,831.0642,5637.0377,NA
"3",652,375191.359786,8297.756555,346027.778529,731.347979,4946.40349,NA
"4",673,380727.2759,7955.32,351038.6957,665.7104,4939.3452,NA
"5",696,323230.08,8707.6751,295680.326,781.3918,4878.3286,NA
"6",686,390127.4809,8678.8385,357726.7831,1210.5803,6119.8407,NA
"7",734,422090.230196,9441.079248,387605.82564,1256.311649,5505.655135,NA
"8",644,295005.4293,7546.0349,269896.0803,631.0826,3883.2002,NA
"9",657,377603.1219,8060.8651,347261.4245,642.8852,5628.271,NA
"10",719,327509.304,9614.65,298544.0128,860.3765,4051.4587,NA
"11",664,379377.666,8009.814728,347781.710307,897.595084,5164.342393,NA
"12",696,394751.3756,9506.4177,362439.6917,1087.6222,4539.5277,NA
"13",682,394566.411603,8031.838615,363559.297415,1001.885708,5086.46507,NA
"14",649,372602.0435,7617.483444,341223.161434,1348.598544,5703.057133,NA
"15",711,407132.623398,8674.756396,372962.735683,944.614658,6616.18546,NA
"16",669,383297.796063,7842.111873,350690.393076,1142.280035,5207.286548,NA
"17",732,415919.95729,9978.878413,380824.688326,1684.141966,5815.915928,NA
"18",697,319471.5302,8543.4912,293463.4963,766.2024,3850.8632,NA
"19",727,416470.883497,8814.836173,383370.376496,871.200676,6225.16411,NA
"20",656,377871.351618,8981.189737,348337.400884,924.516618,4649.172198,NA
"21",711,325545.6167,8635.0759,298404.8272,826.1719,4072.5576,NA
"22",673,387569.427009,9292.517211,354622.876357,1038.243011,4584.41855,NA
"23",670,386773.376606,8943.590164,355218.736715,565.144309,4795.004627,NA
"24",617,355865.43969,7366.67399,327646.098428,710.091727,5836.966619,NA
"25",695,402060.114913,7940.983106,371294.909371,996.970472,5536.666064,NA
"26",671,385243.163213,8048.257557,353986.312505,663.739302,5085.434196,NA
"27",698,403914.149584,8658.905656,370470.948218,1191.263192,4914.998376,NA
"28",715,405341.8662,9443.3314,372411.8066,951.3345,4886.9847,NA
"29",687,395093.41291,8451.579755,361634.651671,728.269052,5834.386847,NA
"30",706,407536.44322,8514.768646,376124.399577,1039.47718,5363.582129,NA
"31",716,411366.908571,8894.44893,376692.078037,940.535625,5569.053287,NA
"32",757,435815.8437,10131.419128,401384.027748,1114.061057,6412.844624,NA
"33",709,420280.506699,8185.426816,388334.264441,1139.932113,5690.100399,NA
"34",669,381354.484815,8869.613939,349451.883,1015.701576,5341.385467,NA
"35",732,417367.416904,8709.51671,383509.838972,851.361892,6254.259897,NA
"36",680,389304.0973,9151.759863,355941.619982,768.558433,5375.576261,NA
"37",719,421474.3005,8539.8357,385853.0917,1681.6216,7001.4159,NA
"38",716,410678.925792,8300.33601,378219.297623,1123.460042,6185.178821,NA
"39",736,423964.148002,8374.106108,389883.480232,808.987347,6291.993638,NA
"40",662,377536.245683,8280.632468,346475.826878,835.634364,5923.025288,NA
"41",719,342140.0648,9203.084,312898.2274,869.8201,4510.2358,NA
"42",721,412403.3281,9748.2672,378972.7277,1026.9029,5397.8274,NA
"43",756,366608.5473,9036.3508,336677.9464,989.0706,4653.2789,NA
"44",657,373100.2357,8771.9706,343516.1567,847.5359,4256.4847,NA
"45",779,371244.293,9233.8065,339241.3665,1371.9774,5122.0159,NA
"46",694,398608.779093,9549.776572,365529.625587,942.847047,5037.113188,NA
"47",655,316890.8231,8145.5498,291251.1271,729.7691,4913.8724,NA
"48",701,397096.9919,8388.2243,364925.9562,1306.4087,5585.6376,NA
"49",703,326289.9885,9471.464,297272.2995,731.5408,4751.8012,NA
"50",714,402390.3057,8997.0943,370871.4923,976.3155,5088.5527,NA
