"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",839,18809.925324,609.709607,144.493634,73.133453,5011.739692,0.2091375699032
"2",779,18048.774398,577.160576,136.674466,68.175312,5055.729895,0.207663107639981
"3",783,17739.565838,573.186906,141.526648,69.046724,4861.323223,0.196976992784138
"4",729,17281.29549,556.214152,130.599897,65.22064,4896.584176,0.209848854538325
"5",724,16645.628812,553.966824,132.186566,65.865173,4485.645296,0.197016785828
"6",738,17659.971396,568.805687,137.423271,69.979829,5170.021574,0.199050274716186
"7",712,16635.991903,553.870096,133.460158,65.872036,4494.751389,0.203671655066181
"8",710,16402.625428,540.007091,135.848631,65.288809,4424.000857,0.204305660367991
"9",694,16287.462392,531.009865,137.066146,69.369161,4446.519794,0.194175432337022
"10",738,17471.122115,569.515131,145.308158,69.952035,4823.21373,0.195681537117495
"11",750,17897.546489,583.963543,146.712778,72.112446,5009.453531,0.193524542729031
"12",787,18600.889447,619.907394,157.08966,78.496477,5143.865051,0.217904857933382
"13",772,18451.945673,606.245536,151.318121,74.113963,5162.7159,0.199237501918972
"14",891,21308.451371,700.500585,184.649343,89.339803,5889.153045,0.209623356840192
"15",692,16673.43479,555.308416,138.658667,68.411292,4732.107921,0.190459650535514
"16",731,17665.514596,579.549562,148.986446,75.483638,4939.779448,0.209850165096005
"17",710,16965.333467,560.286642,145.4979,71.296172,4717.957293,0.197213186332447
"18",779,18823.268006,610.055063,159.011428,77.397257,5345.803775,0.209159264775842
"19",718,17577.262992,556.596792,146.732488,72.127454,5229.617176,0.202021558831464
"20",660,15971.072428,517.695396,138.23491,67.640531,4557.935091,0.208894945089075
"21",771,19248.332013,593.362454,153.998622,82.300531,5966.212344,0.215927271596007
"22",626,15413.137808,493.60416,126.260906,64.576811,4659.561492,0.18814234788081
"23",721,19857.75378,569.178249,150.856677,77.005079,7320.163035,0.19836247223124
"24",653,16134.666065,518.28057,133.17359,67.135561,4836.972091,0.19339408375386
"25",813,20133.858988,639.457237,165.078907,82.031108,6112.693552,0.217610632078123
"26",724,18026.135133,567.325844,146.455304,74.846312,5506.757913,0.18965195677988
"27",939,23276.047265,736.215681,190.195024,94.924918,7060.819531,0.204109679243669
"28",741,18598.705695,594.898429,154.636777,76.863905,5803.769885,0.189725672290134
"29",699,17302.808123,547.247662,144.72574,71.023532,5383.918783,0.20345804352568
"30",782,19049.248809,617.411072,164.560215,78.272163,5579.993455,0.192886274541901
"31",857,20777.753138,680.246606,175.660623,85.706616,5988.915785,0.227660092764426
"32",785,19358.668897,623.293731,164.394587,80.432289,5634.754749,0.208127166239403
"33",777,19051.793664,608.626812,164.705385,80.592675,5613.311417,0.220280268980662
"34",820,19963.384794,658.169082,169.609256,82.714152,5639.087381,0.221349042929877
"35",689,16500.443139,536.801825,143.352376,68.357485,4715.802099,0.203446642879491
"36",699,16691.554212,547.470398,149.204744,70.556479,4702.954011,0.188525348994967
"37",665,16185.889593,521.27246,138.411278,67.395722,4749.219329,0.198973636383241
"38",677,16269.450902,535.635729,144.112762,69.837595,4569.336813,0.19152806981884
"39",692,17137.298788,544.784735,140.474574,71.76774,5143.276456,0.203212216951361
"40",787,18977.360046,626.898801,165.650553,80.941154,5281.860787,0.190735555030006
"41",746,17815.89112,605.384115,155.54121,73.948261,5020.997615,0.20045256487411
"42",690,16581.924205,545.752556,141.547081,69.233691,4708.746299,0.19301239224462
"43",864,21030.296965,684.048397,175.993353,86.408574,5981.667816,0.215238551272043
"44",767,18410.419945,605.44812,161.102232,78.14435,5240.456833,0.204271299917017
"45",930,22629.643762,737.471652,187.614452,95.193196,6569.183169,0.231974672841088
"46",743,18122.592886,592.248973,152.74201,75.177339,5358.365044,0.200924142434937
"47",745,17908.812436,586.183388,149.618096,72.014415,5146.91645,0.197857551393947
"48",795,18926.785811,610.290505,154.461485,74.700763,5456.404807,0.211314113950165
"49",712,17041.134702,570.759054,139.683201,68.412291,4905.017261,0.192680164385481
"50",762,17756.91671,570.34965,140.973352,68.599748,5173.666897,0.204112618402935
