"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",748,672259.6786,19257.1416,636522.295,940.8024,3059.7854,0.373286388826846
"2",747,673167.2704,19921.7805,636409.2268,972.4962,3198.3619,0.376327988212161
"3",726,653459.951,18895.3992,618330.5079,1048.9255,2967.7569,0.376196386742735
"4",714,641872.0852,18561.6783,607407.6638,901.5114,2980.0575,0.374626001634816
"5",723,649176.4385,18645.0826,614325.2735,821.3989,3161.0886,0.388741710946817
"6",643,578256.2862,17005.3484,547098.1484,666.4164,2682.169,0.367794857168942
"7",661,590519.7984,17390.5198,557927.2098,703.6546,3454.5501,0.365059842645935
"8",753,678811.1061,19474.0874,641682.9123,1030.6785,4171.7883,0.389625918747717
"9",698,624266.9155,18095.248,590679.9349,848.983,2864.7246,0.376248647939634
"10",687,620490.2066,17815.4024,587119.4444,744.6263,2978.2402,0.380798259541269
"11",687,616581.1551,18100.4785,581294.4691,821.7857,2831.3935,0.367479039223763
"12",698,623106.2037,18251.0223,589411.8992,795.3981,2849.4786,0.357400782058505
"13",718,647097.8216,18290.6379,611510.7619,771.1483,2960.1939,0.371605416776356
"14",704,629885.0105,18418.2346,595925.9099,765.4166,2923.0487,0.352753661962026
"15",723,651111.5098,18753.9445,614704.687,866.1118,3124.385,0.377363865131157
"16",742,654703.8768,19116.1413,619269.7927,920.2254,2972.1594,0.373309950937111
"17",655,580506.2843,16854.9342,547972.5607,620.0527,2597.1675,0.350203145958713
"18",658,587143.8592,16883.9108,556215.51,651.0688,2685.0038,0.372937718485849
"19",652,583219.8905,17221.7385,551903.4575,737.4714,2678.3091,0.362512864881424
"20",797,727491.9857,21097.6255,688937.1642,1112.0662,3338.5003,0.389579047759646
"21",666,589023.7743,16779.3439,556061.6004,737.5082,2638.7663,0.371706148408989
"22",732,647652.878699,19429.099931,612225.849799,888.116787,2872.109804,0.379775926522806
"23",692,612551.576198,17641.75631,579958.870351,763.115837,2833.857962,0.379588857925984
"24",711,633259.323704,18271.139503,599691.29,772.848427,2925.779001,0.375705438225834
"25",718,637103.532504,18511.257065,603406.63971,838.885189,2819.649008,0.393582511907309
"26",707,627079.871302,18052.790408,593713.740553,794.769386,2888.3465,0.384132806264332
"27",715,632064.453503,18662.20206,598169.860094,779.202093,2934.356903,0.397298150953727
"28",725,641503.351609,19022.374533,606762.39352,831.358878,2923.094207,0.374732774722778
"29",696,622579.376996,17884.366096,589706.431968,848.358581,2774.596642,0.384226837359968
"30",676,597679.641203,17277.161784,565694.008069,674.994833,2988.65423,0.356522876595272
"31",726,641724.795522,18958.86318,605500.107155,879.927186,2852.980645,0.369182755451293
"32",683,610221.597196,18095.220052,577155.256125,836.358798,2787.729452,0.391069193359198
"33",747,655010.214499,18906.204066,619792.001809,917.973133,3148.376357,0.377020106231623
"34",700,617773.283502,18281.288652,584529.494706,717.485411,2848.963735,0.380053861690665
"35",629,560473.378209,16247.671403,530749.42267,663.091419,2617.037096,0.365202452956
"36",746,656718.704106,19050.74104,621532.206267,975.129541,3053.870493,0.381803256257652
"37",660,585086.58129,17557.344486,553371.583402,710.628674,2625.168593,0.367292524342244
"38",699,613595.418703,18070.00133,580660.581616,877.599485,2742.794367,0.35803035921047
"39",700,607035.483112,18421.500231,573345.657505,843.678239,2901.824474,0.396154263174216
"40",658,568221.347798,18242.000791,535738.024961,693.907315,2744.637887,0.374817988592418
"41",712,575311.759503,20272.775692,539685.167679,835.133686,2822.756197,0.386555982823786
"42",700,564804.858898,20234.124087,529546.705644,862.563968,2793.048274,0.362915068104495
"43",674,541938.214569,20061.040832,507435.643775,760.981445,2677.800089,0.368461690776507
"44",693,557950.438586,19887.896803,522946.61045,837.068061,2848.729638,0.377352593763597
"45",744,596202.842006,21370.62801,558699.524375,939.400791,2969.523923,0.368571068471121
"46",695,560559.857593,20036.431249,525419.96682,850.356991,2818.175426,0.367980849961986
"47",715,578111.688795,20817.827356,541848.163324,949.59505,2829.988329,0.373008390682349
"48",695,559083.293393,20153.616046,524131.122895,764.63271,2785.435189,0.381464089854441
"49",703,566065.265492,20428.239406,530445.400305,832.885757,2828.651333,0.381593383775123
"50",704,566423.627869,20516.370898,530825.505784,742.681794,2798.045052,0.373574822244346
