"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",354,57347.991,2232.1985,47910.4074,254.6346,535.3175,NA
"2",374,48598.9135,1765.4208,40418.1708,358.1929,661.7853,NA
"3",373,48050.2326,1402.8494,40273.9895,246.3833,664.218,NA
"4",333,41928.2278,1521.4953,35566.7582,210.6504,496.0677,NA
"5",333,52148.3806,1604.9803,43397.832,258.4671,763.3515,NA
"6",346,45030.1229,1604.4261,37625.6376,331.8983,442.2017,NA
"7",346,44721.7684,1435.3053,37619.2259,234.6587,429.4675,NA
"8",353,44717.0977,1421.2066,37439.5864,230.9706,548.8342,NA
"9",339,42377.1072,1300.7608,35310.145,294.1417,594.5109,NA
"10",346,54760.7345,1482.7601,46283.6059,303.8883,683.5787,NA
"11",303,39465.6915,1378.333,33230.8945,178.7473,406.6824,NA
"12",347,44976.4009,1320.0736,38088.056,230.7689,624.9703,NA
"13",347,44784.0027,1701.9539,37412.7063,238.9869,523.7199,NA
"14",322,40047.5406,1288.6079,33837.4663,183.8451,510.011,NA
"15",425,65054.2906,1844.8984,54305.6291,446.6806,720.9034,NA
"16",352,45720.1706,1447.4251,38589.2859,235.461,539.9904,NA
"17",341,43981.805,1513.0677,36576.3673,224.8948,429.3748,NA
"18",307,38375.7266,1354.0341,32352.3452,194.9953,471.6111,NA
"19",356,46516.1299,1413.484,39053.0776,404.1482,449.3233,NA
"20",361,52715.3178,1625.164,44600.9657,274.3969,509.2656,NA
"21",357,46432.0538,1370.2814,38912.4203,342.9509,446.5449,NA
"22",285,36088.1987,1286.5572,30206.9265,166.0884,371.3872,NA
"23",300,37854.2537,1411.4902,31587.4715,176.6291,638.4115,NA
"24",332,40943.1695,1349.9759,34341.1534,211.3944,507.8832,NA
"25",339,47194.7802,1485.0738,39343.8982,301.2322,562.653,NA
"26",370,47528.3858,1503.3656,40074.3361,245.3471,664.2187,NA
"27",338,42904.2799,1482.9252,35782.3781,295.0971,434.9704,NA
"28",338,41656.729,1486.2758,34882.2015,299.8243,590.8143,NA
"29",319,43304.1859,1670.4499,36219.6115,198.5102,508.3703,NA
"30",295,37986.423,1342.9089,31910.9034,267.1851,484.1794,NA
"31",339,43814.4253,1681.7098,36644.4318,311.6422,537.6863,NA
"32",390,48606.5362,1564.8971,41072.971,269.4424,480.2619,NA
"33",367,48193.1046,1734.9944,40482.3349,254.6995,464.1103,NA
"34",357,45908.1454,1467.699,38585.7201,230.5893,563.9816,NA
"35",319,40593.9812,1593.9673,34322.1944,198.1659,408.8214,NA
"36",310,37712.7174,1266.2395,31983.7468,180.1231,477.4658,NA
"37",355,62003.1864,2142.6066,51585.5677,330.2321,943.2369,NA
"38",345,50758.3368,1533.4972,42416.4652,310.355,558.2386,NA
"39",312,40372.1808,1309.877,34174.4824,290.6965,417.1681,NA
"40",278,35944.0433,1161.87,30287.1743,265.2262,361.9717,NA
"41",335,44540.4075,1743.2801,36767.9208,232.2492,531.1269,NA
"42",334,43256.0664,1404.3106,35496.8419,212.102,521.4572,NA
"43",335,43114.2135,1681.7838,35401.342,477.7764,501.9333,NA
"44",297,38238.5944,1394.4692,31632.5926,170.3486,386.9112,NA
"45",313,38405.9514,1334.6146,32442.1954,182.3569,491.6615,NA
"46",334,41278.052,1285.8346,34740.3346,213.1962,416.9339,NA
"47",302,37139.0561,1228.0271,31468.9825,185.8092,377.355,NA
"48",315,40185.1676,1484.884,33700.2017,293.3994,399.7943,NA
"49",358,49653.6696,1599.5516,41916.5716,237.5727,456.9135,NA
"50",311,38100.2658,1255.7527,32068.9551,186.5556,389.1129,NA
