"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",298,4679.2365,61.8838,21.7143,18.9342,527.2209,0.0918540840358546
"2",310,5049.5268,68.2312,24.2273,21.0749,570.3385,0.0903304783932606
"3",544,8552.8515,114.7757,40.8438,35.5183,994.3754,0.0974119777989072
"4",458,7352.4044,97.3966,35.4302,30.6845,851.4862,0.0993087055229344
"5",497,7934.6705,107.7262,38.1552,32.8719,911.7725,0.10614839583103
"6",360,5800.7756,78.4298,28.0419,24.2413,673.3744,0.0939625324321678
"7",548,8703.1843,117.6692,43.9079,37.0348,1022.6818,0.104778064433212
"8",504,8056.959,110.1732,40.8409,34.0424,907.6336,0.097918297480184
"9",421,6754.5458,91.1353,33.5623,28.2147,747.3085,0.101927326888
"10",493,7813.5631,108.2477,40.7086,33.4863,878,0.0964288015723161
"11",547,8899.5198,121.9018,43.3327,36.4616,966.7796,0.106204246568773
"12",407,6606.3763,88.5745,31.5198,27.4894,731.7691,0.0989993496585843
"13",402,6339.2557,87.7283,33.227,27.9763,735.4666,0.097091414021439
"14",431,6802.798,92.7844,34.8174,28.7959,751.0975,0.0924187101876023
"15",407,6564.8802,88.8042,32.2562,26.9119,703.8086,0.101181632992923
"16",390,6027.1778,84.8384,31.4087,26.1505,658.5687,0.093238394893856
"17",330,5141.4722,73.2665,26.9041,22.3588,561.5321,0.0863581707492851
"18",269,4202.9089,59.3554,21.321,17.796,459.1309,0.0756289303461909
"19",357,5615.9578,78.2664,28.3676,23.5241,611.6629,0.0910344754596045
"20",354,5587.8895,77.2114,28.4329,24.0029,605.8984,0.0961600667244459
"21",517,8169.3539,114.3104,41.4944,35.1606,908.7222,0.102669340898568
"22",306,4758.7104,67.5509,24.8727,20.7434,524.7812,0.088650740495479
"23",437,7068.2607,95.8822,35.3987,29.9229,766.4375,0.100934609728086
"24",479,7629.7173,104.2907,37.4011,31.7449,823.8632,0.0980965570055023
"25",655,10439.1215,145.6169,52.2948,44.4753,1136.887,0.106928133076135
"26",322,5091.4526,70.7307,25.8382,23.0517,573.6609,0.0912510911035791
"27",355,5662.0451,78.9326,28.6095,24.0491,610.8904,0.0934932890015803
"28",389,6042.4259,86.6387,31.9273,26.7289,666.33,0.0877016076421955
"29",313,4876.1867,68.2035,25.3414,21.0051,542.9086,0.0922170176056678
"30",537,8480.9118,118.7459,43.1726,37.6891,966.5874,0.097015239923513
"31",472,7594.9597,103.7508,37.6555,32.2177,818.5645,0.0956909326704023
"32",347,5512.6767,76.4722,27.3906,23.4493,622.7054,0.097760802884278
"33",400,6479.581,87.3565,32.8842,26.7263,685.5955,0.0998570439507536
"34",478,7602.9003,104.8715,39.0233,32.5626,843.8197,0.10015073276503
"35",320,5064.7071,69.7876,25.5326,21.4118,530.5743,0.0953696239983792
"36",348,5563.7567,77.3918,28.6265,23.8109,604.5857,0.0905406998786491
"37",335,5436.7019,72.2312,27.0068,22.9076,572.3857,0.0905800849858985
"38",437,7121.3837,96.6185,37.7207,30.4252,772.0971,0.0987555084896155
"39",435,7098.1928,96.2948,38.3252,31.1622,769.4618,0.0993724719664547
"40",444,7175.2701,98.6873,38.7838,30.9847,794.934,0.0961357757274987
"41",324,5209.4885,71.5885,27.8973,23.627,579.3512,0.0948749729762051
"42",380,6198.3425,82.8736,33.7264,26.8922,675.1979,0.095492950538375
"43",383,6339.5175,85.4777,33.7346,27.3691,673.9969,0.0933869197310036
"44",483,8061.5074,105.8387,42.5461,34.9038,879.1587,0.0950531800179977
"45",469,7760.6804,106.7977,40.6661,32.987,873.3289,0.100028300449096
"46",457,7565.3466,101.8076,40.333,32.8656,843.0523,0.10012295190304
"47",489,7974.9843,108.13,42.766,36.0125,897.4981,0.0976363756300554
"48",378,6321.2784,84.4563,32.7401,27.1582,717.015,0.0954359803661568
"49",522,8475.3675,116.8204,43.4729,36.6375,942.0572,0.103499635173508
"50",287,4885.2201,65.6056,27.2799,21.6003,540.8164,0.0838607677458767
