"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",321,70762.949499,2270.263288,63529.923501,248.791607,397.691969,0.135175083614098
"2",383,86541.49602,2671.166735,77907.345686,331.404544,463.476937,0.132471087335019
"3",345,78726.865197,2462.901602,70989.973633,275.979985,413.099782,0.128939460799517
"4",338,77449.490998,2433.135355,69753.409919,276.961804,406.582742,0.135404472234179
"5",355,82653.707199,2475.798121,74777.172301,297.164345,423.133619,0.136900895290899
"6",311,72224.687501,2134.92192,65304.816679,235.434468,375.762592,0.129355576350813
"7",312,72733.635404,2201.926039,65754.495726,248.60451,374.509696,0.126436318582875
"8",361,88262.281798,2510.133517,80027.660716,308.124563,506.750158,0.13949534006588
"9",331,78208.1005,2250.5551,70769.683,265.5747,406.055,0.124284126182429
"10",374,90587.4073,2597.5866,82056.8055,305.9781,463.1123,0.138555525477371
"11",287,68388.0494,1951.4671,61958.4455,231.7229,357.0019,0.12597592661218
"12",342,81731.2186,2392.8096,74119.2599,276.435,427.6136,0.132893098221553
"13",321,76716.6473,2302.3081,69400.3241,250.7388,396.084,0.133028909158156
"14",338,81138.4756,2358.1692,73557.409,274.2574,424.0286,0.129090065678017
"15",312,74260.9768,2186.8359,67273.3141,271.0949,430.8092,0.129888312801234
"16",356,85180.87,2550.0385,77205.9513,295.2876,426.8231,0.137301992514536
"17",359,86125.7725,2528.0923,78072.3248,297.3986,444.9338,0.130223333987776
"18",328,78187.5984,2195.3805,70979.7172,256.6805,403.4653,0.129829885688051
"19",357,87753.6847,2500.1761,79806.768,296.7533,439.6857,0.130562298551512
"20",315,76321.3554,2185.4296,69278.0457,245.2213,386.1775,0.131550702528721
"21",357,85713.9179,2396.5555,77668.4369,312.0751,447.0664,0.136179854497264
"22",369,88676.8861,2538.4816,80242.9328,310.9843,465.8368,0.138772742000335
"23",311,74117.8526,2103.3448,67259.0282,235.0519,379.124,0.123810752790886
"24",386,92200.4695,2683.5581,83512.6696,310.2826,468.2356,0.141082130381225
"25",317,76768.3348,2254.4137,69571.4047,264.3774,388.6705,0.126505250717178
"26",368,88425.3181,2498.0473,80155.7195,302.6666,474.9225,0.139210679835575
"27",366,88251.9146,2505.9193,80010.8435,304.6889,464.7716,0.131872659646174
"28",309,73957.6624,2055.2991,67151.2891,231.4255,387.8897,0.135777957813226
"29",351,86362.3247,2377.9257,78391.0794,299.1079,429.3468,0.139096094617154
"30",349,84568.577,2458.6576,76747.2509,295.6864,426.0155,0.129010249625449
"31",373,89616.6936,2514.9419,81239.6127,360.4874,458.9905,0.126002152895349
"32",313,74649.1116,2102.6151,67766.5761,232.9345,387.4339,0.134993312319823
"33",366,87482.6342,2475.2375,79304.7929,306.4805,444.7369,0.14363411566251
"34",343,82378.367,2350.7028,74737.9551,296.5429,412.6746,0.131469425067393
"35",340,81522.7093,2300.1354,73840.4324,288.0232,413.4991,0.141828774778347
"36",289,68870.8403,1920.3882,62434.953,207.9226,364.306,0.132051115781301
"37",340,80212.3693,2351.1234,72661.2328,268.1334,412.2174,0.133058282735696
"38",345,81020.1493,2412.993,73217.3808,287.1154,422.8633,0.137823135889144
"39",347,80789.5634,2373.16,72964.7889,297.0466,426.553,0.1320848470293
"40",309,71285.4405,2126.4099,64295.8338,245.1811,389.0845,0.128632507297951
"41",337,76014.0539,2318.0732,68340.917,280.0742,417.7925,0.128125840672539
"42",372,79152.0409,2607.4379,70686.099,336.2927,460.1835,0.139889697771616
"43",374,77531.3188,2623.8631,68903.2731,334.1947,453.3304,0.131967141504396
"44",331,62592.0805,2361.8794,54996.4689,296.7053,408.2829,0.131008011001972
"45",326,61215.9384,2273.0292,53892.3771,289.2815,412.0939,0.133413604534073
"46",360,63122.0794,2545.1852,54884.2259,324.0108,444.9361,0.137851895191424
"47",322,55344.9458,2300.3206,47994.0837,275.9728,397.0308,0.132474152961327
"48",316,54204.402,2214.033,47046.6569,291.2428,390.4761,0.133005344649995
"49",317,52309.1261,2171.3417,45090.4095,258.4711,398.7337,0.134141315529949
"50",323,53210.4085,2249.7057,45763.5025,286.9237,408.4064,0.133047247598048
