"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",546,182701.2995,4929.7685,162903.9311,725.7899,2230.543,NA
"2",611,205347.222,6421.8045,181311.8201,1025.1467,2673.9436,NA
"3",571,195211.05,5299.5232,171476.9676,836.8009,2625.2657,NA
"4",596,198648.5959,5620.9704,175549.3043,791.7551,2184.0231,NA
"5",651,230313.7791,7059.3831,202444.6542,1182.6871,2600.8506,NA
"6",633,210959.6125,5485.2988,187459.8375,984.5318,2741.4276,NA
"7",538,181586.0691,4424.9805,160174.9685,616.6831,2433.5946,NA
"8",487,169661.9198,5711.2599,148789.7033,509.1677,1957.9158,NA
"9",644,221903.6646,5970.1459,195713.3731,1078.4039,3017.3252,NA
"10",611,233076.293,5717.8077,205492.0465,1227.8862,2709.8941,NA
"11",584,224291.9551,5503.5965,198070.5361,1191.1949,2781.7626,NA
"12",637,213398.62,5707.7908,189110.2615,915.9194,2524.244,NA
"13",646,216743.3644,6097.3495,191046.8757,1028.7704,2614.5017,NA
"14",538,188453.8418,5085.6978,166157.1733,903.8018,2028.7541,NA
"15",598,210139.49,5566.4263,185752.8004,876.6933,2369.7635,NA
"16",630,243217.521,6196.5669,213810.5257,1062.0033,2315.8959,NA
"17",549,183710.0868,4437.9729,162856.302,826.2004,2861.2393,NA
"18",617,215955.1791,5453.2718,190787.9094,1246.6285,2843.8311,NA
"19",599,216282.4516,6309.3765,189547.2489,1070.7327,3137.8943,NA
"20",646,249974.7747,6156.3833,220862.0118,1539.3853,2920.4653,NA
"21",608,205479.3306,5916.4975,180777.6201,854.3142,2770.7566,NA
"22",600,209047.7812,5832.6001,184154.2775,1046.9467,2439.3144,NA
"23",588,222449.6734,6918.3797,194222.0546,1083.5846,3211.8565,NA
"24",531,179371.6597,5242.4506,158020.1238,884.3848,2455.7714,NA
"25",622,215717.1954,5329.657,192007.1943,1045.4092,2275.6884,NA
"26",581,223913.8735,5170.9039,196397.5105,1147.3064,2786.0872,NA
"27",557,189772.274,5480.6722,168590.6145,840.5244,2322.9461,NA
"28",560,198128.1011,5272.3043,174630.3095,1018.2853,2181.0172,NA
"29",668,233968.6704,6104.9225,207241.3679,1363.0505,3217.7039,NA
"30",511,197436.6116,5530.799,173816.9074,892.8032,2272.5233,NA
"31",564,190047.8715,5763.6093,166899.7466,969.7345,2157.233,NA
"32",575,195337.2973,5550.8164,172169.5104,884.3482,2756.9606,NA
"33",562,196469.769,4912.7001,173234.099,788.1732,2483.0662,NA
"34",526,204277.7261,5157.2865,179077.2286,1040.6634,2347.931,NA
"35",560,187897.308,6015.9222,165415.2077,726.0495,2358.3307,NA
"36",593,207623.4501,5228.9518,182779.9231,760.5948,2847.6931,NA
"37",596,202383.0977,5470.1074,179255.7527,926.3368,2584.916,NA
"38",596,198021.3254,5776.4181,174162.2163,974.4412,2530.608,NA
"39",558,195124.3278,5737.9702,172470.2796,728.0066,2175.2938,NA
"40",574,206476.9652,5486.2444,182311.0044,1215.6619,2483.9577,NA
"41",546,181642.5976,5561.885,158942.1949,877.1275,2487.235,NA
"42",648,216847.2569,6574.0246,191971.4251,999.0954,2640.4545,NA
"43",593,203259.243,5892.4166,178119.9006,796.8496,2516.691,NA
"44",589,210644.5228,6187.2704,184937.8568,1143.1948,2281.1423,NA
"45",580,221238.6793,4803.7641,196276.0656,1180.7925,2830.3538,NA
"46",549,184381.4023,5480.1849,163350.9219,605.6829,2238.5292,NA
"47",649,218947.843,6130.2732,193202.0336,1323.5489,2483.3837,NA
"48",531,184017.8139,4775.6331,162756.1133,756.4924,2386.4961,NA
"49",656,238272.5862,6209.5984,210690.6541,1248.6344,2703.8382,NA
"50",607,226720.3101,6096.2345,199058.4231,947.3577,3085.6183,NA
