"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",564,333970.2899,10007.9764,310668.1859,774.4409,1485.07,0.126112975081008
"2",628,368509.1373,11198.3917,342523.9642,900.065,1674.9879,0.128249249820736
"3",593,345762.8477,10692.4468,320937.7025,792.9675,1583.4771,0.126935422795388
"4",662,389320.6571,11845.9621,361321.9819,1047.543,1725.3763,0.129516215490253
"5",622,364957.7693,11166.2628,339002.4061,939.3321,1616.5437,0.13013826461778
"6",620,362206.3575,10866.4602,336277.2145,844.1166,1681.678,0.135326383542969
"7",658,383459.6052,11799.7704,355949.9709,974.7095,1753.8153,0.130337466106871
"8",569,334098.5005,10116.1761,310449.194,727.1183,1547.2897,0.132768441548775
"9",610,358693.9537,10978.8593,333257.593,870.532,1621.6512,0.133194823453501
"10",588,345814.0056,10567.2911,320939.0295,842.0925,1578.9539,0.125749522143844
"11",598,350495.4845,10485.6601,325965.0176,847.3376,1542.7322,0.128768194614638
"12",644,378640.8757,11808.6285,351485.1134,963.2697,1696.0087,0.131641028336425
"13",610,357430.2881,11074.2064,331930.776,821.573,1621.5453,0.131367924273766
"14",575,338224.8536,10390.0721,314229.0327,768.4823,1560.3082,0.126908744612243
"15",639,377947.4052,11612.3346,351217.1506,976.1621,1657.8879,0.129689223418229
"16",617,362143.0412,11118.4525,336122.3373,838.6426,1665.7606,0.126081106556539
"17",644,378506.7671,11359.6291,351706.0534,916.2115,1713.0474,0.126228265135662
"18",607,358020.5201,11067.9045,332647.006,927.0292,1607.2359,0.127879782783998
"19",550,322741.7332,10029.8603,299897.882,708.2417,1427.6583,0.127766652670438
"20",540,317339.4199,9687.2461,294808.6176,682.1263,1433.5622,0.126248095433218
"21",574,336576.5222,10146.5984,312694.7186,760.2987,1623.2463,0.12224099152359
"22",616,372532.5455,11462.0621,346559.6524,857.4094,1626.2786,0.126158722909161
"23",605,356993.8211,11040.8715,331718.9772,854.4362,1582.8999,0.128777425134591
"24",639,379315.8125,11607.1364,352328.4763,984.042,1675.0629,0.127266415104571
"25",577,339992.2994,10242.2718,316027.4277,771.0677,1550.9484,0.131950437337123
"26",627,371573.4532,11604.2016,345041.8767,907.4156,1654.6922,0.128437625412285
"27",621,365357.2177,11126.1588,339403.7745,863.466,1619.1938,0.126872088798375
"28",677,395426.3264,12266.6594,366916.3714,1118.802,1802.8284,0.12625418366823
"29",598,352204.9199,11046.7511,326681.8077,820.374,1592.934,0.127382675542395
"30",561,330437.1874,10034.7879,307120.7532,803.4424,1482.3612,0.124914346138602
"31",644,377818.437,11567.3335,351003.9524,868.3329,1709.6792,0.131198963781207
"32",665,387182.8567,12147.062,359412.6837,1007.6051,1729.8808,0.128493839439509
"33",580,344083.0651,10473.8612,319599.9966,816.1017,1545.8396,0.126772257264035
"34",609,358599.5814,10895.6101,333239.1684,890.9429,1588.5729,0.127201558254067
"35",624,366393.6303,11279.0061,340047.5646,897.0347,1680.5436,0.129268087246734
"36",551,324367.0162,10057.2612,301177.0164,727.4609,1465.0877,0.125665202118783
"37",671,380804.3556,11827.0429,353287.1431,1009.2872,1756.5549,0.130920631827927
"38",633,367332.5228,11508.2632,341132.152,972.5416,1633.3708,0.128082903538692
"39",574,335906.1268,10105.5502,311990.7032,767.273,1568.0776,0.128272459497488
"40",632,364877.2644,10973.2235,339100.1031,835.8299,1640.6829,0.130669627524593
"41",660,319565.3753,12143.5598,291371.3067,1016.5837,1915.659,0.135428899958689
"42",533,235620.3372,9398.4667,213806.1459,646.7765,1329.4142,0.132007921619191
"43",574,257116.3168,10197.3824,233906.4751,773.5786,1419.2339,0.132983175457969
"44",660,320171.4364,12021.9309,292241.0831,1053.706,1778.4912,0.127931054277822
"45",576,265988.1087,10650.0236,241775.6333,833.6946,1515.4298,0.123444879554946
"46",613,302417.628,10849.9262,276817.8981,865.4885,1762.802,0.130551227115374
"47",621,301381.3234,11163.7552,274742.889,919.9607,1660.9131,0.128251885132298
"48",596,279310.888,10710.5234,254485.8514,850.9278,1588.3924,0.125693816252732
"49",586,271343.1555,10500.6896,246975.7488,867.6064,1562.5756,0.127017747951836
"50",546,249160.9655,10003.5943,225684.5672,736.8806,1449.3943,0.118721875060157
