"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",711,483574.0757,10497.362,434852.0054,1757.6867,6839.1494,NA
"2",901,624390.7857,13359.1435,563992.3581,2246.601,7202.1447,NA
"3",777,539027.78369,11773.448725,485807.851046,1851.56086,6067.692265,NA
"4",809,567161.32721,12822.078409,509390.135513,2220.811488,6908.472283,NA
"5",840,584941.5243,13336.033271,527765.751948,2416.063906,6411.065055,NA
"6",789,540917.6356,12696.6517,487308.9988,2080.2544,7115.1355,NA
"7",747,523506.1492,11125.9669,469475.0522,2126.6728,7858.8479,NA
"8",764,536952.418301,12518.240725,482358.375906,1665.993832,7513.606076,NA
"9",879,610936.417712,13455.869655,552155.941737,1946.972195,6910.272717,NA
"10",790,545947.427612,12207.441937,493108.774391,1611.172209,7061.375047,NA
"11",808,429547.823998,11435.649665,386319.890982,999.490224,5330.462656,NA
"12",905,426249.933099,12192.159841,379059.862117,1185.613663,5227.655597,NA
"13",767,528104.6714,12293.4721,475399.5809,1848.3163,6644.9863,NA
"14",825,571755.1155,12106.9879,515519.2574,2842.2989,6899.2789,NA
"15",776,542458.4813,11849.0943,489076.1053,1635.1914,6682.5534,NA
"16",833,578278.428483,13940.22969,520236.240742,2636.42461,6609.151633,NA
"17",850,587799.433106,13154.943401,527002.119981,2205.600967,7535.774694,NA
"18",747,515962.106502,10851.046164,464838.828492,1649.517648,6934.756209,NA
"19",839,386067.025796,10727.789884,345085.16371,1211.822569,4396.559231,NA
"20",869,394138.523795,12111.816126,352767.996999,1174.244353,4501.310066,NA
"21",771,525985.0537,10168.2441,474478.7208,2653.1476,6578.5338,NA
"22",823,570327.7809,11104.5054,514376.4454,2140.5477,6770.4751,NA
"23",858,585906.786617,12945.284481,525520.496518,2145.82186,8778.623437,NA
"24",885,415276.961281,11272.801011,373523.214334,1474.492206,4708.419404,NA
"25",850,374148.604,11697.864101,333545.75771,1106.737031,4574.787682,NA
"26",751,509775.5544,12929.6685,456319.7199,1521.8122,6542.9211,NA
"27",851,591240.0161,13965.2334,533412.6355,1887.011,6444.5962,NA
"28",734,509510.862908,11071.9052,458768.013958,1878.178523,6624.227228,NA
"29",862,588751.845492,13447.801474,530314.548253,2116.087383,8313.145834,NA
"30",838,334894.6979,11212.8722,295879.1852,1230.0808,4667.5557,NA
"31",852,583790.3986,14204.7589,528200.348,1812.7687,6692.6608,NA
"32",695,483105.2233,10376.2171,436141.4759,1643.839,7340.4069,NA
"33",795,542774.554893,12122.355746,486803.578127,2470.015104,7804.491547,NA
"34",866,329199.3978,10175.5362,292666.7925,1064.0067,4036.5711,NA
"35",837,573441.4536,13351.9933,515850.6783,2483.646,7283.5531,NA
"36",895,624160.0588,13896.2258,561167.8273,2621.8468,8505.3823,NA
"37",768,315823.2684,9752.7987,280442.5597,998.5582,4285.8612,NA
"38",744,508042.5176,11214.6903,459653.738,1583.4563,6715.0095,NA
"39",778,531517.1774,12700.2432,477597.6068,1837.4157,6893.9053,NA
"40",799,536785.612632,11410.437407,485100.88712,1603.175477,7299.338226,NA
"41",814,295799.9791,10391.8274,262188.3289,819.8631,3936.6725,NA
"42",774,534200.4198,13655.9119,479485.7654,2082.2463,7439.4662,NA
"43",729,507336.681518,10027.506084,457470.342381,1663.759938,6287.293031,NA
"44",756,518560.3582,11262.4484,469085.8776,1702.1846,6110.2152,NA
"45",916,632639.8226,14503.4831,570923.5854,2549.5746,6848.6615,NA
"46",811,564200.199206,12714.499409,509077.811411,1739.64138,7558.798347,NA
"47",865,604260.04589,13836.264176,545248.697595,2516.913313,6374.838357,NA
"48",810,566114.701923,12017.591303,512380.437866,3022.189503,5757.047262,NA
"49",798,535585.706386,12160.450981,480044.533018,1886.486436,7271.757061,NA
"50",836,555432.687496,13213.765401,499396.144682,2534.085543,7001.452665,NA
