"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",815,29861.4076,718.8088,170.0064,82.9722,6539.2566,0.0642445559013262
"2",740,27827.5857,659.6505,157.9626,75.8272,5916.6708,0.0636192334991773
"3",831,30845.3442,741.551,178.6942,85.2426,6613.9869,0.063827851711132
"4",936,35158.1669,847.5258,204.9109,97.4247,7439.1137,0.0663350424977814
"5",836,31814.6621,754.3024,194.6903,88.8791,6765.9454,0.0709442921072151
"6",911,33535.6433,804.1396,226.9946,99.6324,7007.8915,0.0643920474504746
"7",691,26276.5889,616.5213,166.0587,76.8363,5557.6627,0.0653866113600312
"8",828,31696.6854,778.3664,204.5845,92.4919,6641.5186,0.0684111031278779
"9",720,27873.0148,657.4769,170.002,78.0059,5695.572,0.0677196618306613
"10",899,34671.3769,834.671,221.0709,98.9291,7198.4488,0.0678789170616343
"11",895,34307.4249,833.7901,220.1873,96.9058,7117.6153,0.0679309417725635
"12",784,29892.3956,730.6756,193.6577,85.855,6174.6369,0.0626162559443399
"13",911,34179.9457,824.7484,230.2928,99.9567,7143.9089,0.0676850306024868
"14",887,33792.1485,820.1046,223.4569,98.2257,6865.5942,0.0700259014456978
"15",741,27904.8552,670.3841,180.3298,78.8719,5666.009,0.0619463083184422
"16",894,33524.1863,810.0489,223.6864,100.6729,6967.3751,0.0686174761447656
"17",687,25622.6597,631.0444,172.5839,74.1943,5206.9238,0.0607976793928356
"18",790,29866.0711,729.1703,195.4577,90.2078,6017.2888,0.0675552717800945
"19",790,30408.329,739.4629,198.0641,87.8218,6085.9669,0.0651993412892223
"20",860,32773.8478,812.809,213.7764,94.9802,6437.5872,0.0674229977225048
"21",794,30473.974,740.2219,206.3478,92.8847,6186.2509,0.0647686962666959
"22",934,35704.8592,869.2313,242.5728,107.633,7576.4799,0.0696206371055761
"23",835,31894.7792,777.7855,211.8614,94.556,6570.821,0.0659066352749734
"24",723,26914.1012,660.5504,186.2004,81.2857,5711.3095,0.0630048495777732
"25",811,30424.2699,735.2972,207.8456,88.6561,6335.0076,0.0664179285602315
"26",916,35181.4553,834.0029,226.6861,103.6151,7411.626,0.0732125076167514
"27",668,25972.9682,629.3977,171.5267,79.3259,5497.2374,0.0620717743047073
"28",682,26377.6259,635.4553,167.1209,79.1979,5761.0872,0.0628256145098588
"29",939,35950.7528,885.4248,234.0074,107.0275,7671.1324,0.0716802766563963
"30",776,29788.8194,728.2634,194.8505,88.1763,6303.7291,0.067262649499778
"31",818,32207.5799,783.4023,205.0781,92.2448,6763.1538,0.0660880561060729
"32",833,32233.0829,781.1791,215.7675,96.2299,6820.3869,0.0667428511769331
"33",824,31259.5993,763.3166,216.7202,92.527,6498.1635,0.0652900644698396
"34",923,35122.4668,854.6038,236.0087,101.885,7425.4722,0.0712175821523645
"35",688,26381.4135,656.4751,171.6316,77.5322,5594.8262,0.0677054857450118
"36",779,29248.7143,707.0268,197.7005,86.773,6115.3397,0.0647299908496576
"37",859,32457.4236,805.3427,212.4213,96.9124,6696.1033,0.0651210472075094
"38",705,27178.6843,664.519,177.6497,79.1376,5620.6657,0.0607259949350149
"39",924,35148.328,858.5703,227.831,102.359,7185.6959,0.0698801210329195
"40",814,30999.3201,758.3997,200.8772,93.1151,6538.316,0.0704632028147295
"41",821,30411.0947,770.9536,206.2322,90.5057,6405.095,0.0643797544986721
"42",854,32079.6359,790.7575,212.4926,95.7882,6656.6954,0.0608473449591898
"43",804,30816.9558,742.9874,197.4528,91.1597,6404.0249,0.070138197801064
"44",778,29725.7177,722.423,189.2529,85.8976,6132.8882,0.0671301160771522
"45",829,30167.495,750.9771,208.0813,92.3487,6319.7307,0.0660747542571206
"46",1006,36154.3146,887.4388,237.6905,104.7189,7505.0213,0.0726598279703849
"47",928,33359.7686,831.8741,226.862,104.1594,7029.2721,0.0701204089951067
"48",795,29224.6692,713.285,186.1026,84.6885,6060.2464,0.0629487838082499
"49",804,26464.0719,675.8513,173.125,78.3824,5546.1472,0.0651494442771044
"50",854,28758.5542,730.2553,183.6305,83.7026,5865.8873,0.0687805033877333
