"","total_iterations","total_duration","evaluate_duration","copy_duration","match_duration","mutate_duration","final_hypervolume"
"1",789,833700.5039,25195.4459,780700.501,1477.6014,3766.7933,0.124887911515059
"2",879,922508.3413,28258.3656,863271.6779,2044.4509,4275.2557,0.125254289866343
"3",830,876730.7354,26585.9075,819955.2432,1893.9854,4333.6511,0.122737322396011
"4",862,903069.398,28005.0632,845103.7884,1650.2412,4104.4083,0.131399384205777
"5",846,892254.41,27049.8687,835622.6731,1684.1229,3916.0211,0.127068928374029
"6",793,836127.3063,25556.269,781640.9169,1401.4126,4579.2771,0.12634263445382
"7",787,830877.0733,25494.4802,778263.9782,1455.9698,3906.8697,0.122112401658053
"8",789,835891.3511,25438.203,783000.0342,1474.1062,3712.4021,0.130284851217293
"9",842,897259.9106,27551.1736,839178.9692,1702.758,4039.4227,0.126774834511242
"10",829,883828.6618,26631.0649,828010.7804,1745.3397,3962.4089,0.126818975761152
"11",725,767310.2816,22570.9137,718032.3195,1126.9966,3696.8394,0.121352496104179
"12",812,864150.0423,25802.8371,809922.4077,1594.8688,3959.6988,0.127006144389409
"13",902,956328.1093,29090.9299,895782.385,1936.9064,4382.1508,0.128208214328516
"14",817,861604.4134,26539.2562,807157.4546,1571.297,3845.5329,0.120308640656017
"15",852,894678.4359,27782.6955,837530.8587,1724.6407,3940.9992,0.127147210970988
"16",758,799592.6654,24066.0688,749591.7434,1348.1936,3582.1964,0.124438751263177
"17",850,895403.0255,27417.0527,838607.4918,1723.414,4217.613,0.12249824471911
"18",859,925362.1709,28172.6402,868219.7523,1717.6566,4120.0697,0.125214442400017
"19",675,704428.6204,21357.1719,660750.6957,1050.1082,3191.6074,0.119822388436513
"20",833,881262.3021,27342.9288,825124.9753,1529.019,4145.3017,0.127407161310718
"21",790,833684.7343,25426.9854,780235.7976,1488.5676,3621.0653,0.120071277131989
"22",848,893150.6811,27149.5715,835407.2906,1736.1471,3948.2841,0.12489244736763
"23",793,830958.4434,25010.4807,778296.5496,1552.695,3602.7539,0.124920922875722
"24",757,789775.9521,24042.7855,739932.0742,1284.6753,3783.7145,0.12276234897264
"25",704,736300.8234,22370.9833,689434.9106,1125.2901,3212.4323,0.121920427653715
"26",810,850430.2552,26561.3154,796568.6391,1561.7761,3695.8127,0.124917117001689
"27",752,788785.9306,23770.5676,739216.4602,1378.5846,3447.9064,0.117170695899481
"28",821,856835.1747,26468.5759,802240.7913,1480.7958,3811.6447,0.132925822901506
"29",767,799394.5215,24443.2742,748544.1892,1364.5823,3437.6557,0.119112752482852
"30",783,825157.5866,25761.0383,771893.1379,1472.7732,4872.322,0.126064286966391
"31",871,903845.8034,28019.9004,845629.3555,1712.1848,4185.4422,0.12638467344464
"32",851,890528.5375,27770.0888,834289.4643,1605.7209,3803.5089,0.124083368564871
"33",803,845279.8406,25579.9487,791926.9002,1578.1809,3919.7229,0.120939653913531
"34",685,717321.6447,21982.4332,672556.27,1075.3164,3169.7698,0.118252471104989
"35",833,862942.7582,26752.6948,806214.1641,1509.9675,3781.5657,0.122769400459431
"36",746,774741.7903,23485.2445,725937.9571,1166.355,3531.922,0.125185372491092
"37",733,768523.69,23093.5762,720341.19,1376.006,3453.115,0.126302686791043
"38",760,799229.3118,24347.7958,749153.6882,1485.649,3581.7729,0.120811693132511
"39",816,841140.2772,27583.3599,784026.4708,1642.4232,3825.8658,0.123437340999232
"40",740,781650.4246,24307.358,732566.2206,1337.2524,3419.9968,0.122849529980291
"41",753,610976.1973,23772.815,563805.2379,1127.9617,3130.6764,0.117786140159684
"42",783,602979.8831,24156.826,555676.0561,1089.2411,3157.9714,0.119400932256684
"43",826,603578.2219,24412.9572,555142.2474,1217.3613,3166.6691,0.122959849099557
"44",728,569328.8035,22794.1189,525087.0966,954.1593,2978.4892,0.119300841195432
"45",740,567697.669,23570.9722,522467.4804,965.3149,2958.4764,0.124216364407144
"46",738,566022.8579,23480.8858,521001.2733,938.5681,2961.8805,0.122927982548464
"47",795,551929.1605,23304.0309,506108.3047,1094.4096,3017.6639,0.121383899650369
"48",697,522825.83,21555.1999,480783.4278,798.6048,2778.521,0.125383176223546
"49",750,524511.2822,22761.5278,480237.762,1012.2089,2899.4671,0.122815636668481
"50",776,526786.3171,22587.3835,482900.1485,981.9455,2932.0294,0.122930136972289
